key,like_count,comment_count
n14070626dc46,300,191
nb9d658003278,208,32
n4378ec62c4f8,209,27
n428c17db2dc5,282,74
nd0cd9a8f8956,310,34
na56f015e855f,251,51
nd26b76bf29ab,244,41
n02fc366ceebf,247,46
nc69f070111c4,278,39
n859620a924ad,215,39
n311995fc7617,270,43
n0a429e715116,236,40
n6eff92e88f8f,290,78
n14431c2cfad5,276,49
nfb8d01be90a3,236,52
n7b13a859f1cd,240,62
nf328df37fe3e,445,69
ne026261fc50c,302,55
n53272195b104,279,56
nc6e4aa5162e6,233,49
n572bfeab89a6,260,43
n649c4ca2ad61,294,42
n8a9818864904,317,37
nc775cc0d93c1,306,62
nf21d096717d1,254,53
n60f987897f3a,225,55
n06bcfb5a544f,413,52
nd13d9cf34655,205,57
nd074cb2c496b,306,50
n9c1286881221,249,43
na4a44a88e353,354,46
n0680a5110652,287,50
n14dc84ce13f4,265,62
nc8e42dd7dd66,292,85
n497550f58712,333,52
na4efa0bff48a,329,46
n7a7ccc95a657,304,50
na1cfa8072d3b,251,40
n670459e4a135,304,44
nac0ea0076fb8,249,56
nfd99e1a3ee56,319,51
n36e42e67ae76,216,36
nf62a1a20b413,359,46
nb1e63eadb541,305,69
nf00b8fbcec13,232,54
n7a9862194fb1,249,49
nb08cf7866b7e,273,42
n8d80a286f52a,224,45
n04e5bbd37c29,373,39
n7aa911c090b4,278,42
n9155aab88037,237,48
n7b7c7b0caf39,244,39
n48bebd56040d,220,33
n607436a7e823,321,45
n4702d33751ba,232,44
n0d81f895c7ec,271,48
n96f0045839df,297,36
n858976ebcbf7,362,54
nfaca5c1be98d,254,58
n46733edd2340,334,44
n337af1c2473d,279,52
n910623937346,258,70
n809e51f41f27,270,58
n874f5a2e3b5d,494,135
n520253865a69,384,52
nfaf0e71a5ae3,275,44
n7603affae1ac,239,30
n1b312e6dc1d0,283,42
n551d771a69f3,338,54
nb903ab905cf1,278,30
n88d5fae17cc0,294,50
n087e077768a0,265,36
n0ed93029c231,227,47
n320fe2da6e78,310,45
n52258f83acf2,202,51
n56bc213a5210,340,38
n2aacbf43f3c7,288,41
ncb9a37851ef1,247,31
n21209a8524db,259,29
n5a8ff2cb9f54,312,54
n3cf40d59cc0f,280,47
necb6159421c1,236,47
nbc70f7f2a2ed,315,60
nfdb707217480,327,51
ne4f67c097c99,253,37
n10ab8bded112,202,40
nb91531957ae0,276,40
nf8925b0928f9,251,42
ncc83531e51ad,256,48
n65e8e6ee429a,332,43
nd870d6b06bcb,229,34
nc15e000a5f03,236,43
n24641b095172,326,35
nb9ff53bdbdf3,277,34
n6d054c78d8b5,281,17
nb0fb2b77b902,253,21
n154dec0771c3,229,36
n773376d8a66f,331,41
n86cc3774c7e2,246,35
nd146c5dda861,241,32
na0a9d9a822c1,245,23
n0611bbba73ff,296,35
n835b3acce241,148,62
n9973fe32a80f,203,57
n82acdc734454,282,20
n87150be68392,265,27
n58534114f8be,270,30
ne8fa2107d321,241,25
n6f199c157dec,168,10
n558757a1e3e1,194,19
ne86ecfd8aec5,342,40
ndc582efed241,271,17
na0c108d1dd40,230,14
nc265f1777aac,353,8
n5c81d756cf7c,307,41
n4de56c886902,292,24
nb2251def2ce0,162,16
n8f3afa966e73,180,17
nf0df44b5858a,162,43
na7d3b09a80bf,242,13
n3af520411bd5,259,14
naadd62cbd3bd,149,8
n79ea031eefa2,319,16
ncea2e66de4cd,160,8
n002a7deab61c,269,14
n760a729130c4,147,11
ne4b2902dcffd,268,19
nbfe167c695fd,118,8
n70beb06c75bb,251,10
n1d1eaa5dfb2e,182,8
n3461a039110f,243,12
n9828d37c79cb,161,18
n37b4ac8acf24,147,14
