magazine_key,owner_urlname,is_jointly_managed,name
mc39b34305389,kind_fowl6682,True,ITで働く人のための共同マガジン『リンクライン』
m74eb98a21f7d,chatgpt_ysd,False,ChatGPTのヨシダ(本編)
m1fb06cd6a61d,modern_holly38,True,ダルメイFC
m83de25512497,chatgpt_ysd,False,🤖生成AIニュースまとめ
m7ade94ab4e06,chatgpt_ysd,False,AIキュレーションの窓🪟
m48869283ebf3,chatgpt_ysd,False,Kawamura’s Shelf 
m8cfcfaa374e8,chatgpt_ysd,False,AI用語図書館　「ヨシダの脳みそ🧠」
m96728bd6b208,maiyu_x_ai,True,『OASOBI会』 共同運営マガジン
mc34938ae6ca6,chatgpt_ysd,True,【共同運営マガジン】AIファン倶楽部
m6d69812caeed,chatgpt_ysd,False,ヨシダ、クロード、ジェミニのスキ💛ラボ
