key,like_count,comment_count
n37180fe24b18,638,105
n7c04813cd399,106,5
n5cc9f0e3dfaf,137,19
nf3594eef0691,133,30
n4e92bee4eb73,163,45
nbfb3bcbad527,168,24
ne12f2a5691da,190,29
na16ae9e45de5,138,18
n223d7187c880,152,45
n943380c51f10,146,33
na9255bda98a3,143,26
nc96fce0a6176,173,39
nd9a51dd65384,169,26
nf7fce8398017,140,25
n144ef9f988f2,144,22
n57aa29e04165,160,36
nbdfa14a7573d,183,47
na49a6c116843,215,55
n79b0b5a52814,166,27
n930ee3735e2b,155,23
ne5d2398b71db,152,32
n7196653db72b,135,32
n53052c1a66e5,150,17
n4cf42255198b,197,41
naaa24e5d67fb,200,23
n44a4759d8cb4,200,38
n00cdb7ef39e4,191,36
nf0e4ca70189a,156,41
n3d78bf798ea8,203,41
n6a1225a817bb,217,25
n92b389bf6a52,218,65
n771544dd99ad,207,24
nb344afe9e330,196,16
n1df9439557ed,205,33
n37b3042e2b70,125,43
n86e207daeadb,200,29
nb5a99eccbd28,173,43
ne36d519dba41,188,58
n97edc6bdc89b,180,23
ncaced040519c,144,19
n640f69e99148,141,39
n2f60a2176183,163,24
n2ea3f4dcb730,142,24
na9be34788a11,182,43
n0d28286978aa,182,24
n21f79bef138e,175,37
nf76f342c75d0,196,36
n8897f780eb77,192,43
n231bcb5278cf,153,19
n59db31cebe85,128,13
nb87d04c75f02,151,20
n2da5ecdf2004,132,12
n86ccdc64fe36,157,14
n0de537d1a997,163,20
n20244d4817db,167,23
n883747279652,198,28
n8da60030d801,216,47
n5c06eed6e8ef,148,35
n7f69dd99b56d,137,33
n7a8c86ee84ca,182,26
n6660eef00c42,175,30
n6525c6807e71,159,22
n99cda2d9a3dc,129,13
n6fbe8b5c599f,143,23
nf1105bf9c4e3,130,33
n3c7722967533,204,21
n1e01b806de34,173,33
n2e6dbf5a4530,194,23
n7ffcf137dd37,168,30
nd031677ca945,189,31
nb2c809f90ad4,188,24
n1241fc2881c7,224,37
n747696e450db,148,29
n572ff39fdea7,173,22
n19e4efa9007f,196,47
na5e2199d25d1,163,32
nb94822e900b5,219,59
n72ca75ed2264,240,38
n06759fa6d1d3,147,39
n213c280c308d,211,28
nfcd945c6f920,164,10
nf03b789ad361,190,48
nc9d452772f60,206,12
nf01eabb4ca8e,202,6
n50668cb9ac27,290,21
nbc2483908077,121,22
naab7527cad75,204,35
nc4df3b7e201c,134,18
n257719cea428,175,24
n3bab65c48734,202,32
n9d60983fa3f4,168,22
n14eb89ee7292,206,37
ne685952132be,131,26
nc40156f6432b,184,37
nbaea274de6ad,191,17
n54086f019f4b,176,5
nbddce81a354a,149,34
n10e167fcc0aa,147,24
n546d32f04e8c,135,4
n3f0d8e2c1cf4,235,25
n1fd5e88ac099,161,12
ne6d59a4f450f,207,38
n8ddb555f02f5,230,17
na83909144099,156,12
na05a954f97a6,151,10
nf7767db8555d,175,4
n840c1b5a3ead,147,6
n2106093e3b3b,164,21
nfcf65917c59c,261,24
n6ff8a26bc297,185,35
nceee772cd4fe,210,18
n36b317d5b28c,130,4
nd95f876b2221,159,14
nb76250bb97e6,177,8
n1d3911e7bb58,130,20
ne8a241c24f10,225,10
ne19a46daa62d,174,34
n9771ade50c7b,130,6
n8f6e8078e1e8,206,14
n72b860277a93,131,12
n99d0a8523d8c,134,6
n9a4ace9d9267,105,7
n1394cc7021b6,113,11
ndf79988d0b5d,128,6
n375a7f2a512f,167,12
n944f7a4c1b1e,135,2
n2797cf9874ab,115,2
n725acf24a97d,115,8
n35c7d2df5d52,105,11
na164488abc51,112,2
ne56d82bc25eb,90,2
naccb46c1bcec,111,2
nb6b2da5ed57a,85,6
n6e121020dd68,106,2
n78f27fb53375,94,6
ncb4e0ae4381d,84,14
nd332072e4978,72,0
n62b2f047f782,142,4
n9421f69f316d,111,13
nd433c469b919,71,0
n0a2027cdc701,57,0
n96c1bb258c1f,80,0
n8cfa3c7a1e50,86,0
nccb526a46dad,148,0
nebd47e7fb81a,37,0
nb1821f28e6e0,63,6
nad08b305d53b,59,4
nc386e0fbefbe,69,6
nc58b4ccee84f,52,2
na35c89b47597,55,4
n0290ff85f044,54,7
n7b98392a729b,20,0
nf02755340026,37,0
n4869962751c1,31,0
n866b2ed35bcc,58,2
nfa6b48182193,56,4
n795fd5c1a802,33,0
na149d5c9eb12,21,5
nd0c6b5a143e9,26,0
n4731c7b9e83c,25,0
ncbbf3617dafc,33,10
n0e1c5fa5bd57,20,0
na39d2685031f,45,4
n8da1396072c5,46,0
n99c66299e51f,16,2
n7b0d29c7b80b,21,0
n9f1eb3168b84,23,5
n6471fe125705,15,2
n4b7cfac7f866,20,0
nf0f0d4f22e64,32,0
nc89c8a8737ae,8,0
nd184799d6372,12,0
nb2ee5070482b,12,0
n83325f5b33aa,11,0
n0351f743463e,24,4
nad9868a01d04,20,4
nb955a3499fad,36,2
nd8e7bece7557,18,0
n678dc7c16f5f,15,0
n8f03da2f7293,19,0
nfd22b155449d,18,2
n4ea538f6e346,841,61
