magazine_key,owner_urlname,is_jointly_managed,name
m63e662f3991a,vision_retreat,True,コーチ応援マガジン
m30a248399fe0,compass_m360,False,🧚‍♀️✨ みんなのワクワクキャビネット
ma415290738a4,alert_clover9324,True,みんなで広めよう！タクの音楽マガジン
md3a807653baf,wise_rat6355,True,綴り灯
m38c6d06537bf,nenkoro2,True,ChatGPTCreativeClub【共同マガジン】
m8db5f74539a3,hiroxkura,True,AI Music Collaboration🎶
m3dd522288498,hasyamo,True,推し庭🌱｜みんなの庭だより
m7ffeddfdfb3c,ai_naoyuki,True,第2回スキ動画コンテスト「夏の陣」
mcb9bb00d8129,compass_m360,False,🌱 好きのタネを育てるマガジン
med91f4cff92c,compass_m360,False,スキ❤️から始まる素敵な出会い✨
m36662f603517,compass_m360,False,🧚✨ AIと未来のワクワクキャビネット
ma301f047731b,compass_m360,False,🎞️創作の部屋
m2b40c901f370,compass_m360,False,ありがとうの引き出し✨紹介してくれた大切な人たちへ
m3832bb72329e,compass_m360,False,✨自己紹介マガジン✨
me8f4a48824bf,compass_m360,False,🧚✨こころのワクワクキャビネット
ma45a29fb2422,compass_m360,False,🧚✨冒険のワクワクキャビネット
mbe5aa9bf1714,compass_m360,False,🧚✨日常のきらめきワクワクキャビネット
mc02ea639dd53,compass_m360,False,🧚✨ 美しいものワクワキャビネット
