key,like_count,comment_count
n0f3ffa104491,223,10
nd9d14e1d6a1d,11,0
nff9b646275cd,33,2
n2f6b08b922cb,48,12
n0ae475fd6585,26,6
nd956bfde2858,40,6
na5a0deb20079,35,8
n35577ca94068,37,7
ndd36d7e6e4dd,41,2
n4d1d669fe918,13,4
n2b3bc40b18d8,27,10
n2d9d0e3563b5,21,4
n09df3d216c85,14,2
n95b1a8f9a5ad,28,4
nb892bb9d89f5,67,10
nf0ba00201a3a,50,11
nab12e6eb9177,46,27
n5fb17b0d5019,25,2
nb75b356e9996,60,6
n7c38bb966a06,44,5
n0a25de95d8a6,55,12
n17dc98b59dd2,31,6
n27388c8b8207,63,28
n8180ff0d248a,62,14
n80f4f33985f9,17,6
nd636d30c70e0,38,2
nd9fb6dbeb475,24,6
n184eabdb54ec,32,6
n3d2215ddc96b,48,9
n54c8b796afc1,46,12
n13ba54c3b61b,25,0
ne4ac01863d81,36,7
n18f6221f9255,51,9
n282e9f215b4e,48,8
n70fc4afa2c9c,53,6
n50638719da61,90,16
n3b67eb3fdd6d,43,8
n3d657becc2bd,42,13
nf96915b6f183,47,16
n976f596a5960,28,8
n912a1d696714,50,7
n3dd27263f700,97,19
nd726c948fae4,21,4
nb124cb544a13,24,0
n8453f75fb5b9,56,29
n239d716379f9,30,3
n9f02858b47f5,33,16
ndeac50c441fe,31,6
n078282a7088e,39,6
n99e09fb549de,49,8
nc57b0726061c,32,14
n0e3affbd13cf,43,8
n2d01c53b2267,39,6
ned8fa41247a2,45,6
n5056c024f741,25,4
n37f14072dad0,35,2
n8e29c3ea237c,23,9
n642743f807e2,59,23
n115a230ab927,33,17
nc2b9f06cd2ea,30,8
n50bb645ada24,37,6
nda2a8c995be3,27,13
n38441b063251,44,10
nfcb914588488,56,14
n51565850fa20,33,8
ne4dcf1cf3e35,26,4
n0602b221220e,44,10
nc3fe5db64791,21,6
n479db934df86,29,6
n53bd24591108,31,10
n6e4a614aa2d5,42,8
ne315de0e42f6,23,6
n2d719c004e32,22,12
n941e6d1f9095,64,20
n8ff5ae5c236f,32,6
neb29ec038d3f,30,8
nad09c75c7299,12,8
n2414d4f88c29,111,11
n943b274fd529,51,15
n91c0b1213b2f,57,8
nc8f7fd7ce785,29,4
ncad941d33bd1,25,6
n6b5a79a30e3f,30,4
na9248112fbb1,82,2
n49dd2ba913d2,65,12
nf5057d8e0883,37,4
n1e97c6037d72,75,2
nec2cc3d1ee13,35,10
nd40c32335339,23,6
nefd4fde145fb,55,24
n3f80533f9f21,31,8
n9accf50db465,44,17
n5200928b7b88,36,2
n05ceaa95f92a,31,10
n3b41ea0db7d2,49,4
nd4b073872117,26,14
n5307e070ddf9,26,6
n4417e6435fc6,67,18
n84ac40b6bea0,28,5
na74facb9a076,16,6
ne34a89c54ab1,80,2
nc8243725b9cc,53,21
n03db41d51dfa,47,2
ne726aa60f8f4,29,4
nf8b468ada191,19,6
n93cc06113d8c,29,6
n64f5a35200e8,51,2
na6b12c4e006e,22,6
nd1146651dd88,17,4
nb667ceeb1a9b,74,16
ndda13c9eb8f5,15,2
nc3ce1f83bfeb,21,6
nd84743b23a38,18,2
nb3de4da3ebd9,29,8
nedb876b99a6f,24,6
nf6572c39ae1e,20,6
ne48b969f8dcc,39,10
n330e86df0cd8,26,4
na88eb4bec882,15,2
na9aa33b2914c,13,4
n334aae2eaae0,23,0
nbf48839a31e5,29,8
n9988daa4e6ad,18,2
n600183289414,21,4
n6687e7a7a943,16,6
n880d48cc0cdd,16,8
n681f93c8ef06,52,2
nad0e91d2f11a,25,9
n7dbe959f6776,12,3
n61d39502057c,14,2
neefdcf013f0a,10,2
n5bbbe0019d07,21,2
nf0a1a7210717,24,12
n86f14fddaadd,24,7
n9be66101ab3a,14,0
n87bb2ac0a8b0,12,2
nef94f88cc976,16,4
na29b63ceac1a,21,2
n73e72472e35d,23,5
nbd50910aa51e,23,8
nc49d775c4d23,22,4
na437a9c52e21,12,6
n1ec7ca734963,38,6
n4fb0cb0fea8a,14,6
nec5c4182c987,31,7
naea8df2289b9,25,2
nfcd4fa59e459,20,4
n03a64f914dda,10,0
n419eb1f43fb7,18,0
n2cb40b889228,12,2
n124fb920475e,31,6
n17bbe8d8665a,33,4
nc410aafdc15f,9,2
ne4f2af0f029f,14,2
n49784707570c,43,12
n137f5d04e5ca,14,0
n099b1f661442,24,2
ndefe1d410bac,13,2
nfdb6e27fbe83,6,0
nde009e8da8ac,14,0
n67b25e5cee1b,15,2
nc1df292d94ff,17,10
ne4a2b76b24fa,16,8
na7bba207da40,23,4
n249330f6adf3,14,0
nd749ae7fb43c,12,2
nbfc8942ca396,15,0
n74fb9bf02b5e,9,4
n632254880bbc,14,4
n91547ddf7f55,17,2
ncf86ada7e16f,13,2
n76dc5a0aa00b,19,14
na3824d1e841e,22,2
n0be36d2617de,22,0
n66253b873965,9,6
nc06f278e9a36,16,6
ndae03abaf942,23,0
nb360c96c59b4,15,6
n420e14565ac5,15,8
ne62e7319de43,14,0
na2c8147a8ea3,17,0
n8a3e0d2dcdcc,12,0
nba98b8132ab7,10,0
n7fe1f91e8fb7,11,4
n7b142493065e,21,2
n0efb61455674,13,2
nf7f63382b1c1,22,7
n781b4af73e05,9,0
n90430cf36f72,6,0
n48d78d9b6d52,18,2
n460e0e73085e,35,8
nbd74a31acaf2,24,5
n685fe8bdd060,29,4
n1a008ddda643,6,0
nf8ad61242239,16,2
nf1a15e47c38d,22,0
n8b91fd823ff8,23,6
n83953a395a8e,32,7
n97b643de91f5,34,0
n5c8dc4bb0085,25,4
n2f4de189f601,17,0
n3adf00ceff64,16,0
n3b01d3eb9cb1,27,2
n590b3e519f66,14,2
nfe84d73cdf15,13,0
n173d1a2b4fdf,25,0
na86956eb259b,15,4
nd5e52c03853a,14,0
n42140e5d0c6a,9,2
nca29fbde14e8,20,0
n018dec3ac3b7,26,7
n0954efbfa0ac,16,0
nc5cf95340641,16,6
n4474d19e47dc,12,0
ndb3586d7d348,10,0
n775d50007d3c,16,2
n304478390046,18,4
ndca4b495d401,22,4
n1c85c780ed4d,22,4
n27f6cbbbf951,11,0
n75a2dced1f33,23,0
nabc1665a8ad9,17,6
nb867a5c95ab7,46,4
nf493e587999d,18,0
n51b8ba6ad81a,14,4
n2fdc5e927ae2,26,4
ndc399d5ed70d,24,6
n954d65593280,24,2
n7580876028a3,26,6
n71498c0a4a34,19,0
n2f73a088ab84,14,6
nc4f7152d8392,12,6
n2529ff0bbcbe,13,2
naa07a9329522,10,4
nc42a622411e3,14,4
nc82fd9845e7d,9,0
nbda993d09aec,16,4
nc64ce0c92f95,17,2
nee3d4cec0b9e,22,6
n4a574061d1db,15,0
n038c73486313,35,7
ncbaec9dde5a0,25,0
n1ebf33574787,23,6
n8e9b737568fe,10,2
ne743336412df,14,0
nfdbddfd72f57,18,0
n85d1e0e90d68,16,9
ne663fc86603a,13,15
n923d493c3d4a,21,4
n6a80e75884c2,18,0
na1e177f681db,27,9
nc658cde72a93,37,10
na89103819f67,18,0
nf3e201bd2a90,22,0
n3afcebb70dae,16,6
n16b1a6c93227,17,4
n9569e570c503,17,5
n50a19d718932,26,0
n8d379ed986ce,13,4
n172239e82264,16,4
n1e3f2b7bb1c2,29,2
n4fef1ff1485e,7,4
n68164d82d52c,28,4
nc0fccf866179,9,6
nc55e7ec7b959,10,0
na554684fd626,18,2
nd3faaeb56319,37,2
n32aec3f1b28d,18,4
nad832bdfc816,12,0
n415762defaa7,31,2
n084997dc65ef,10,0
n3d5944d8695b,32,2
n57ea27b612a9,12,2
naca91ad70602,11,0
nf8f6b617373b,14,4
n8616e518f54c,3,0
n4e9a88dc8094,10,0
n96d341055072,6,0
n7d5428b2913e,7,0
nfb7ef4d5b080,4,2
n1f60b57e9d67,8,2
nffebe93f1c3a,7,0
nb97fe5a76762,6,0
n15d590052d85,8,2
n70e128a133b0,12,4
n63e5925d8948,18,0
n05a36ebf30cc,11,0
nb2ba3a77377f,35,6
ned2e0f0bb112,17,2
ncee374597465,18,2
n0ae9fb6ba13f,14,0
n0ece2730cc51,7,0
n2face01b240e,11,2
n7104d620a4ca,150,14
