magazine_key,owner_urlname,is_jointly_managed,name
md7d287f4dc1c,suke_namako,True,萌え萌えオーバードーズ【共同運営マガジン】
m8fb499ecbcbb,reipichu,True,集まれ！白銀の髪同盟【共同運営マガジン】
mc6810aa41870,supertoraneko,True,共同マガジン『AI-LA（アイラ）』
m5fc65b0ce590,crisp_chimp0823,False,思考の参考書
mc3aa76322165,crisp_chimp0823,False,AIイラスト置き場
m05c0dd3b3ea8,crisp_chimp0823,False,秀逸、音楽
m44ee3b3480ef,crisp_chimp0823,False,有料級AIイラストの作り方
m1dfe70257d08,crisp_chimp0823,False,note技
m890393e0fae7,crisp_chimp0823,False,黒豆柴と私
mdb98f3f64144,crisp_chimp0823,False,宝物
m18a9c9781b88,crisp_chimp0823,False,AI活用
mf35a0718370e,crisp_chimp0823,False,音楽まとめ
