key,like_count,comment_count
nd873fb4fc550,201,129
nd59f060ecb2a,90,31
n6c13d41b1763,131,33
n708dbb899be1,91,59
nb458a6d73ad7,129,106
n13b894492c74,80,70
naa84313fdee8,82,63
naf5e86b95616,100,67
ncad344df8eb8,93,71
n763c9b7d5b4c,89,59
nb6cf9fbc9dbb,89,56
n1f162ee23813,70,38
n88d17ddf7284,68,59
n4beb132f98f7,69,35
n7852f6e0285a,93,111
nf9aed028fbc4,115,101
ncbe23217f78d,113,42
nfc1294efa033,83,25
n3993803ed949,154,48
ne218884f2907,84,33
nf1982f6b5790,197,102
n62a61aa180b5,100,75
n7e198f0db52d,98,78
n0489d0db1801,78,52
n8c8e15798401,78,40
nddd050e94edb,103,55
nb777b7fe698c,91,49
n3b7388174b01,119,39
n4ab5b9ff0f2e,175,62
n65250d53835d,90,55
n83953612431f,91,39
n04a058090875,132,47
n8439a6504e01,119,92
nfb784b92e061,128,112
n0e4e9046b6d9,187,84
nb08982e684ad,135,57
n8a9300d1f476,74,95
nbd0e43681ca1,120,63
n72396e629212,114,78
nc13ed026132b,91,77
nfa3e7f5f35dd,89,246
necf8c83a45ce,99,70
n0d6d38bb51dd,90,53
nb31b29bd6caf,88,72
n10c81b4f1246,76,60
nf3a446214ec5,98,63
n2e9bd45f2b57,117,51
n576e0166a51b,103,63
n618decbcc90d,89,65
nae05cea8e925,95,74
n1d74551f37e5,92,83
n2ae1c4769e8a,90,39
ndd8893f6de76,74,49
n86f4bac75d05,87,57
nc65df63fb6b0,84,71
n0691f2b95fd1,105,39
n83603357b279,209,121
n8f932884b722,73,62
n05dc7c63e799,108,38
n7dd830b721e5,97,62
ne41a04334230,65,32
n4e26d3051ebd,63,16
nc133da460464,73,41
ne4587a43ed00,55,23
na0889c254d8d,58,12
needc78e0cedc,74,19
na974e951fde9,79,30
nee950767ff19,59,55
n6b06060c4a78,100,35
nc6c042aacb53,96,35
n35903ea8dec0,59,28
n61981cc68ff0,75,12
nc8d3ddfbdc99,81,33
n004898811929,58,31
nfc2de067f800,72,33
na4329137dc4a,102,26
n10478de443f6,80,44
n26ad824aa246,88,45
n0fa7d395074b,202,47
na3fbedf000cb,272,42
n7bb87cf83baa,355,46
nc25a66aeb530,140,37
n1b3a3ea057df,87,36
nd15f0e02f192,50,18
nfe87b8a2c91a,74,69
n7c78d30c5025,57,25
na546dafb7b5d,56,50
ne680d9cf0cf3,66,47
n03d1879ab506,59,15
n918d14ad8244,62,21
n917c7059c074,69,28
ndae66464dd48,60,34
na33bed8fb003,45,35
n48d97abd65a7,83,19
n7ad6d832d453,68,21
nbf9d3ed0ab5c,70,32
nd86a4287e392,73,52
n75667925e2a6,57,36
nc6cfae0ef169,78,24
nf00af9b7e580,87,17
nc07874268c00,89,27
n7b12bfe42f15,34,17
n097be723a83b,72,15
nb50846321052,70,43
n501070c1d754,63,22
na9c27b0ed666,75,28
n0519737f7626,56,23
n6809970e2daa,40,18
n9426c0800267,48,15
n1c2b8e160fec,41,12
ne22b2f376067,47,13
ne751ca42a181,49,20
n1bb9670679ef,81,69
n05fb0c6cd3c0,88,61
n1ffb6b490c26,81,38
n431f9bf677cc,146,35
n50421849c60f,76,28
na7d781135688,63,23
nfe56c0155f22,38,25
nf43bc7b435c0,137,16
n889d38bdca3c,101,30
na7c6e6d4dd97,47,28
nd4ef33c63b39,46,32
n07ef15231656,29,24
n26318c817528,40,7
nf2f69b684b57,50,29
n7f2a3fb40595,41,32
n96bf45808e92,55,18
n3118d8d5029b,48,23
nf07e2d77fbbc,41,25
n836eb9b67603,37,25
n54793aa3960f,76,43
n3148a931dfb9,47,29
n31d2e0b93051,34,42
n325bd56ccd16,36,22
n6ea0fbce1bd6,42,18
n5ac0fde70269,43,29
n17e54ce0658a,47,17
n38728c822118,55,18
nf5c2a79a1cb5,61,20
na41b40efa150,70,22
nd328597ceaa8,43,35
n2a1247b3ec86,35,23
n7b7243726a89,32,17
nfae4dfef050e,33,29
n0391feb1d159,27,15
n5b46511d3376,26,18
n88d287705a34,28,12
n8e818a1345e5,31,1
ncb45fae437e2,31,11
nb58a0839ed6f,28,5
n70048f27ab3c,34,11
n76e7d1d9590a,36,20
n5e7676f13246,26,5
necdce78c0986,26,9
n6aff9b966d83,32,6
n1629ad066764,28,27
n6830f09bc717,30,20
n55fe03087928,327,79
n8bfb9baff5af,33,12
n478c486b7a37,36,8
n0d2bc57a087b,22,5
n5ed105076cc6,42,17
nfe60023d23c6,31,19
n4097c40d7191,24,3
n15a7a2fa1a59,35,10
n1cac6108b218,26,9
na313e6429082,37,8
n8929728b373c,23,11
n012d3fbe45d7,22,3
ncc304227dd2c,16,4
n3abe7491a959,29,2
nc119cb200d6c,27,8
n8ba99d7cfd6a,22,14
n9b88659c4b01,36,15
n1f285a8b7b3d,34,6
nd8f0b54b2942,46,3
n7d063e123df4,27,4
nb5594336169a,13,3
n021a99bb38d9,21,3
ne2ce00f014a1,29,5
nd615e69edbe9,20,3
n881500f8a1b3,27,28
n478e47478844,23,4
n97eb8a65c694,16,9
n4b8142a572be,10,4
naabde094b62a,22,8
nd292b0a4a574,25,18
n1a089eea5d39,21,6
n4f4eb91f154a,33,11
n73e1cb0fe72e,16,4
n8e1ee13d685c,25,6
n255092497de4,12,2
nedf2eb43e646,17,5
nd8047b719457,19,11
n9ae806427543,19,4
nce637e774678,13,4
n83d58d9e3952,14,10
n8a38834c27ef,12,4
n0537db0b3f9e,13,2
n86431a0ab014,15,8
nf828b670d0d4,13,2
n7268dfe94275,13,3
nf419af4e0c25,13,2
n54ae6d105a4b,18,2
ndb3e3035bcdd,13,2
n0927813f34c5,11,2
nb3f760f9c13b,16,2
n46326241a34f,17,8
n440008a466e8,11,0
nd807c7c2c885,16,2
n6152bfbe3596,10,0
n6766610194ad,12,4
n06f2796af2ce,15,8
n95ce4668b20c,10,3
ne198a7b0579c,11,5
n974b36b91784,9,1
n61a5f07de22a,10,0
nc879e1e7de50,8,3
ne81ec8184c0d,8,0
nb239033707fc,8,0
n41e9c065a9a0,15,0
n89f07783954e,9,1
n2128d4b797ce,8,0
nfdb51c977877,9,1
n1cc65eb133c7,11,0
nd9d3a2484dd2,16,0
nd5ca3362c68b,16,2
n2f1e8a6c379d,9,0
ne61770ca66a2,11,0
nad6de089fae6,14,0
n6c32857d3b72,15,0
nbf477d423017,15,0
n96c237eb7fde,15,0
n7d4eaccd6cec,11,2
na235730057a1,13,0
n6af163da0a6a,12,0
n6d79dda5a52f,11,0
n754b5fd0b568,12,2
n0a6d462b2f93,17,2
n26cc52d9f1a1,17,9
n869acab80f5c,18,0
n5f7b9bcbec7b,16,0
n60ccf4d80225,19,6
nf7a363c47da5,19,8
naf2c7a1dacec,23,2
nf18b6918e007,27,10
n955af0485a18,30,7
n6abbf4be6ae8,32,9
n625d9e7ebb80,35,22
n69a7ab5eab3f,59,17
