key,like_count,comment_count
n9183f6478974,86,10
ncdb54b1174ff,62,6
n153b576ff29b,60,10
na0bf7f6035be,58,8
n9715e53f7d7d,95,5
n02f6cfb0eb61,75,10
ne7ea1f8e7a8a,83,15
n9d94bf7f6f2b,60,8
nfec25219f344,39,8
n927737afacd3,46,6
nfee24f91d72b,70,12
n6d044c44afd4,87,4
n42150b38a34c,68,3
nf17e74594035,62,8
n4f1f999597d7,86,10
nde67f15ac7b5,82,16
n6640491d814a,63,8
n7bf8523d38f6,85,6
nf0e7376beb2a,89,6
n8f974403c8d2,69,13
n0dcca697e515,66,6
nd573178a1e89,113,13
n8ffb54544e90,60,7
n0375c46175ce,145,7
nf0954828f824,70,10
n99c53c762019,89,10
n31f6f95c8d57,63,12
n90e907bfdb57,87,10
nc19a3f70478a,60,14
ne8a7da4a6c45,102,8
nec59081eecc7,71,6
nb95ed4491f44,68,8
n0d56614747d8,83,12
nb9343b5ccc1a,113,12
n09daef1ffb3f,65,12
n20d25365e81f,45,8
n262803dbc17f,133,11
n6857c16753f4,65,13
nd97826b84449,49,10
nb8c453cdcf36,70,18
n4c75e02b922c,84,16
n3efcb51ccf18,87,6
n8ad191978c22,101,12
n239cac0070ad,83,11
nc8f1bfdd2f72,42,14
nf0258400a01b,115,8
nef0b6227ac60,102,8
nf3559a2475ab,67,9
n82dc681c9b78,95,12
naf1370a93203,82,10
n37b5b5ceb40b,102,10
n9f718fca2c79,59,8
na58ccfa58f70,190,15
nfab5c80be744,69,10
nae8274eac48a,94,9
nd5c18e6690f2,60,10
n19fc34f7da17,72,12
nfe1817435251,85,13
n6e7c5260191a,51,12
n73f3eb52354e,61,10
nf6a295f7f5b8,208,8
n0f6487ab2b55,45,4
n2381517fd908,178,16
n9e923d1fcced,69,10
n0a5079169982,81,8
n708028457c88,70,6
neea25f8fa721,55,6
n1feca2594494,52,19
n1f4edb768c14,142,12
ncd9c7e2641c7,63,13
n3658ae84db81,43,5
nf084f24c7281,79,20
n1750b3467e89,70,4
n2103c5ca1fb2,50,27
nd7a51edda55e,57,22
n959877934bcb,89,8
na6d153ea4cf3,113,10
n6378bb461b1f,51,21
n255e3833d6e4,49,8
n709675bbc100,59,6
nfb7697d2f461,64,12
n0d7d8497df25,81,8
nc318213714e4,72,9
n8c9ae906d334,76,19
n5bef7bab4108,124,12
nb40b0fd2f267,53,4
n5a5a727aeb08,119,14
ne131c6ea5a1b,102,13
nbc287a19fee2,86,13
na5d35c899654,97,21
n229487873fba,102,9
n52eda2e5cc8f,55,12
n8ea00aeee733,191,13
n03751f725d71,66,7
n26fe61ffb8d8,153,12
n2a24bcd0046a,61,6
n472f3bee80cc,69,7
nf1e2ef390814,52,11
n511cd97db5a2,202,10
n98a620eed9ac,75,11
nff5ce0352270,102,16
n829be9c42d00,48,14
n337fe94f2d49,58,13
n1ea7e17101dc,129,10
n0544f0d44dd4,84,13
n4c150c911fc5,81,13
n84e0228471fe,63,12
n0eb08f301607,55,10
n5bb257ae49ee,72,13
nf73a20d4335c,99,6
n5bc67a793068,101,8
n7466698b0ddf,134,8
na16ce19f948b,61,8
n8df03c085660,113,15
n57e3b2879f9f,48,10
n9cbb54041b2c,192,12
nd5b39b717981,96,13
n9dcdd4245335,54,21
n57b39a75eca2,94,11
ne3e5f14001a9,42,0
nbfce4fb01d76,90,11
nec627ef85220,157,10
n6c4dd92ff6d5,42,5
na6d116a5b491,73,8
nbc4e94a7fcf0,53,11
n1569bd3b28d8,82,13
nfb42c447d344,40,4
n4e9455cebbf7,63,13
n8d81846637a8,134,24
n4a8822727253,141,19
n4b2834d1f223,68,11
nbc9c5e873d02,31,0
n8749cbdf5d6a,60,11
ned806aca7618,144,8
n7883dbcc5335,43,13
n9d971625e613,57,12
na96e7c857db1,112,26
n114717de1432,104,17
nc87d3dc3aecf,66,6
n964f01cc86f9,70,18
ned80aa3c0160,142,22
ned0c22212110,135,12
n8acc99ce8657,67,9
n519953c72341,163,30
na98e0a928715,220,24
n7c6b8641463f,75,7
n823151523326,91,19
n4b72ef3c6482,35,5
nf2364c48a68e,215,21
n7faa1a748dfb,121,19
n8ff3ec91457a,64,15
na493ed1510c3,108,17
