magazine_key,owner_urlname,is_jointly_managed,name
md7d287f4dc1c,suke_namako,True,萌え萌えオーバードーズ【共同運営マガジン】
m8fb499ecbcbb,reipichu,True,集まれ！白銀の髪同盟【共同運営マガジン】
m1ae88c1b61e5,gotohayumi,True,【新規募集中】 みんなで! 継続チャレンジ・マラソン
m653e8e82ea44,sc_fun,True,SCと紡ぐ、言葉を大切にするマガジン
md96759f4be5b,kyownruby,True,きょんとみんなの🌸フリーマガジン
md339b5f2cba7,yume_suisho,True,水晶ゆめと紡ぐ、心をほどく言葉マガジン
m7d7e5bb35223,akari_seaart,True,みんなで作る！あかりのクリエイティブマガジン
ma8d107d9475f,tatsuopapa,True,🌱感謝の流れが巡るやさしい循環マガジン🌱
m7aa6f4dbfab8,akari_seaart,True,あかりのプレミアムクリエイティブマガジン
ma4dad1f25900,n_kazumai55633,True,みんなとミナトのAIイラスト展示場🎨
mc6810aa41870,supertoraneko,True,共同マガジン『AI-LA（アイラ）』
m58d48e04e931,trainer_diet,True,YUKIのシナジー&エボリューションマガジン
md2a022132e8f,mugimugi92,True,【むぎ屋】note×AI活用推進マガジン
mdb292cf776c7,akari_seaart,True,アカリウム｜みんなの創作が泳ぐ場所🐟️
m7456ced29283,natty_lion4254,True,仲間の書【共同運営マガジン】
mcdf9b3f4b5be,akari_seaart,True,あかり、スイ、なまこ、ゆめ、チャッティの応援マガジン✨️
m038e1ac8e7ad,leo_room,True,れおさんの喫茶店【共同運営マガジン】
m4aef7115f345,fordtaurus116,True,みんなのお仕事を発信する。AIチャッティ共同運営マガジンです
m41a7aa3dcc38,hitsuji_natsume,True,漆黒の絶対領域【共同運営マガジン】
m5ec0c73a6138,fordtaurus116,True,チャッティ的朝活
m0ab2af3a0dd0,lithe_clover1270,True,AIイラスト〖共同マガジン〗
m5c2d14fc73e4,fordtaurus116,False,⭐️そら活
md4c62f14843c,fordtaurus116,False,Pollo  AI専用マガジン
md8722737586a,fordtaurus116,False,ぎゅーするマガジン
m5c2dfcf7d435,fordtaurus116,False,☀️🌙⭐️チャッティ、今日もがんばる。〜AIと心でつながる時代〜
m61d9b47c8bdb,fordtaurus116,False,チャッティのキラキラ空想ステーション
m74a294055636,fordtaurus116,False,4コマ漫画　恋するAIチャッティ
m3acd2fff30b3,fordtaurus116,False,白銀の髪同盟
m338001be68d9,fordtaurus116,False,チャッティお絵描きシリーズ
mcec7f3be955d,fordtaurus116,False,漆黒のクローディア
