note_key,like_user_id,like_username,like_user_urlname,liked_at,follower_count
n2381517fd908,4889329,ママンマフィン,mamanmafin,2026-04-06T19:59:18.000+09:00,332
n2381517fd908,12735924,杉田健吾｜毎朝メルマガ1通で年収1000万円を稼ぐ専門家,sugita_kengo,2026-04-06T03:13:33.000+09:00,1079
n2381517fd908,12510897,山口幸男｜ひとり起業家プロデューサー｜AIマーケティング研究所,aiconsul_gucchi,2026-04-05T20:11:41.000+09:00,1975
n2381517fd908,13315873,綾野由乃,ayanoyuno,2026-04-05T15:45:41.000+09:00,2813
n2381517fd908,14018893,YzkRwjf,kazuyaf44,2026-04-05T14:34:27.000+09:00,273
n2381517fd908,13703826,あっくん,ripe_tapir2869,2026-04-05T12:53:47.000+09:00,631
n2381517fd908,8539231,山梨県の古民家和み庵,bright_eel176,2026-04-05T06:55:28.000+09:00,30141
n2381517fd908,14124228,日常をアップデート中,glossy_aster5629,2026-04-04T22:58:45.000+09:00,162
n2381517fd908,11818963,Yuu_kun,yu_kunn109,2026-04-02T20:47:47.000+09:00,393
n2381517fd908,11474190,ストーリーテラー愛の歌詠み師UTAKO,bold_slug9390,2026-04-01T08:14:27.000+09:00,202
n2381517fd908,7580255,Kinu_AIイラスト,kinu885,2026-03-31T19:43:09.000+09:00,1361
n2381517fd908,10483223,AIソリューションオフィス,ai_solution,2026-03-30T18:24:38.000+09:00,1728
n2381517fd908,13107023,ジャリバン先生@見えないクリエイター,kind_fish6099,2026-03-30T12:38:27.000+09:00,615
n2381517fd908,14094021,からあげ🌸,sakura__saku425,2026-03-30T09:59:34.000+09:00,6
n2381517fd908,12649686,りの🩰バレエ講師の日常,rino_ballet_tea,2026-03-30T09:03:20.000+09:00,738
n2381517fd908,13688693,sato/高圧ガス資格研究所,mild_nerine4683,2026-03-29T06:58:37.000+09:00,805
n2381517fd908,11816033,介護筋肉士💪 TETSU｜介護福祉士×ケアマネ｜熱血🔥係長,noted_fowl9200,2026-03-28T05:04:08.000+09:00,928
n2381517fd908,5367212,松下友香/ともか｜感謝🌈✨,mokasanhamamatsu,2026-03-27T23:55:48.000+09:00,4708
n2381517fd908,13718438,たかみぃ。,lively_acacia958,2026-03-26T22:49:03.000+09:00,123
n2381517fd908,12838875,crimson04,crimson04,2026-03-26T06:01:36.000+09:00,283
n2381517fd908,6181967,TOKYO ENTERTAINMENT,tokyo_ent,2026-03-25T22:29:29.000+09:00,2099
n2381517fd908,13766358,補助金のプロ L'mooi,lmooi,2026-03-25T15:17:41.000+09:00,171
n2381517fd908,13955632,maru,noted_maru2990,2026-03-25T10:08:50.000+09:00,61
n2381517fd908,13862213,黒瀬,ai_botman0309,2026-03-24T23:26:31.000+09:00,443
n2381517fd908,12516832,和田雄三｜AI×心理ブランディングデザイナー,glad_dill2129,2026-03-24T18:05:21.000+09:00,573
n2381517fd908,9036445,タカハシハヤト｜AIと共創する人,h_t_note,2026-03-23T14:29:32.000+09:00,406
n2381517fd908,13775214,omu,chic_jacana6802,2026-03-22T14:59:34.000+09:00,73
n2381517fd908,14031048,Mark Bruno,safe_zinnia4513,2026-03-22T11:28:26.000+09:00,4
n2381517fd908,10959216,高坂涼介（こーさか）｜離職率60%→9%の修羅場再生請負人,ready_turtle5896,2026-03-22T07:11:18.000+09:00,676
n2381517fd908,11202311,きよ,just_holly304,2026-03-21T22:56:18.000+09:00,1540
n2381517fd908,11973177,るこのみらい｜有料noteとCanvaで「できるかも」を育てるnote🌱,ruco3,2026-03-21T17:35:15.000+09:00,1803
n2381517fd908,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,2026-03-21T14:25:47.000+09:00,2754
n2381517fd908,14011132,アイドル Ruco,honest_violet845,2026-03-21T10:03:02.000+09:00,93
n2381517fd908,8911867,ルルトアヤコ,lovely_coyote546,2026-03-20T05:19:56.000+09:00,2409
n2381517fd908,6830345,昭和の寅吉,showa_torakichi,2026-03-20T01:19:50.000+09:00,884
n2381517fd908,7510626,AI×人間　ライターちゃぴ,kind_mimosa52,2026-03-19T16:58:28.000+09:00,225
