key,like_count,comment_count
n2322613ddd73,260,33
nff809ff13324,35,8
n21ef8898abda,48,17
n89925bcdd27a,41,16
n447c2703703c,47,11
nf1be801069d2,57,19
n31d8446c4453,68,25
n8039ede2ce38,43,11
n19347650ff85,41,14
n88f748ef7590,54,18
n9a54929c7d16,34,16
n77dbd057ba05,48,17
n671e62dd82d3,51,14
n6c80c653b2a1,49,14
n2cae7fa130a9,53,19
ndc07e7a7e181,52,23
na8245a6b5951,40,15
nb44a34e3b503,47,8
ncadfe4059489,68,23
n5671f61abbd6,50,14
n68b37a520958,43,16
na1880e8079b1,71,27
n66d5a243606a,42,13
n369bff065905,57,11
n2f5c2f6ae4a8,50,17
n89706a6d7346,62,42
n6c0b91398d4f,60,18
n5ff7ca7ddd6c,71,22
ne47a64354d19,40,14
nf498bba6c13f,93,24
n376b3c24aaff,52,22
n1efcea1c4a8d,61,28
n3dc30921d274,46,28
nce8f502fbb43,44,14
n769782e51016,54,21
n0690b00e692c,33,9
nd3df08315cb2,33,13
n8b4771c8889c,27,19
n2864317dc54e,30,10
n7cb96a876be0,19,12
n324ffe8f993c,39,17
n1dc256247b28,25,10
n487c152f41ea,19,2
n1b80a642a7c4,26,17
nb95de0b2078f,37,14
n51b5b1346604,20,14
naa9b34f43503,25,11
n8302108d0eed,22,22
n49388be4261a,20,6
n0c884fd83955,25,4
n7ebb8821ba88,32,10
nb3cf250bf79c,35,14
nec3031e2c308,34,12
n30ec53c149af,35,11
nb121c099a241,30,3
nb292c6ff9605,256,196
nd58ee84ee70e,34,12
n6aae0246fd09,24,10
ne6ffafaf4c7a,27,4
n00fad5394378,20,9
nda49cb9bd897,25,2
n7afe42275da1,35,10
n23a626fcf274,21,8
n47ae4499450a,27,12
nfcadf756aaa3,21,12
n8de3beac5c7c,50,36
n497f3957f84f,30,10
n20d8070b7656,19,11
nd5fb9f858395,26,11
nc97904842baf,23,10
n62fb37041209,26,8
n5550839a83c5,26,18
nb63200971510,20,4
na31406839eb4,19,8
nef08ec8f8b07,21,13
n673cbf026992,22,0
nd7e3da2d97a0,43,22
nc8a7c746030d,23,8
n6a1e8aa3097f,18,5
nc14373cd72ca,16,6
n98fc0341fe76,22,7
n073df0afa091,24,6
n01271ce80310,61,18
ndaf058b3ce32,21,2
n41ded699c4f7,49,11
n7c10f4988392,29,5
n5c1119748a91,21,6
n2f29b6180d71,22,2
n906789863ffa,27,8
n4db8a2a5aaaa,36,7
nfdb8eaca5a6a,25,4
ne5e825c679f9,33,8
n8b9608b6623d,16,2
nc0c3e5b51016,12,0
n44b043263216,60,24
ne73ec862e0ca,9,2
nbb53d199536a,24,2
n5d2bcfec3be8,25,3
nc31bfdb2047f,19,2
nacefae8ae993,14,2
n51dd38244d7a,17,0
n69906f968e39,8,0
n3f2877db2815,16,15
n6302096046ff,18,4
n201954604558,8,4
na0d238f78e2c,23,2
n6b484bcd2926,17,0
n3bc9b1fb03d7,19,8
nbef2c333897f,14,4
ne70d97707229,21,6
ndac423f231c1,17,6
n3886025e9f75,14,8
n2ad2155cdd92,13,7
n315589b8e822,19,4
n1a8da6ebae59,11,0
n07f1f161a33f,4,0
n53d03db7b534,17,17
n569d2bb07508,9,0
n560273243500,6,0
n04eb926bdabe,6,0
n536fa1795758,9,5
n7d2c8284db17,3,2
nc14a6aa41ec7,3,0
nd46a87980bd9,4,0
n9145328a1686,5,0
n6e0781d54027,4,2
n412a6a8aca05,5,0
na79b765a2a0d,10,2
n41fd8b4a4acd,5,2
n924e9ddf5bc0,9,3
nc6d7b7de8aae,7,0
n388d7169ba5d,4,0
nff27e1ae9400,12,0
n1398ab42b9db,6,0
n37d3fd704c0a,12,0
nba6e79f62183,11,3
