magazine_key,owner_urlname,is_jointly_managed,name
m1ae88c1b61e5,gotohayumi,True,【新規募集中】 みんなで! 継続チャレンジ・マラソン
mdac3bfb67e3e,hukugyouotaku,True,あなたのnoteを伸ばす共同運営マガジン
m7d7e5bb35223,akari_seaart,True,みんなで作る！あかりのクリエイティブマガジン
ma8d107d9475f,tatsuopapa,True,🌱感謝の流れが巡るやさしい循環マガジン🌱
m97848c1bdf32,tatsuopapa,True,自分に優しく、人にはもっと優しい成長マガジン♪
m38c6d06537bf,nenkoro2,True,ChatGPTCreativeClub【共同マガジン】
m71579a6f4222,ai_hitsujisan,True,あなたのフォロワー・ビュー・スキを増やします♡
md2a022132e8f,mugimugi92,True,【むぎ屋】note×AI活用推進マガジン
m7456ced29283,natty_lion4254,True,仲間の書【共同運営マガジン】
md96759f4be5b,kyownruby,True,きょんとみんなの🌸フリーマガジン
mdb292cf776c7,akari_seaart,True,アカリウム｜みんなの創作が泳ぐ場所🐟️
mc6810aa41870,supertoraneko,True,共同マガジン『AI-LA（アイラ）』
md7d287f4dc1c,suke_namako,True,萌え萌えオーバードーズ【共同運営マガジン】
m7aa6f4dbfab8,akari_seaart,True,あかりのプレミアムクリエイティブマガジン
m038e1ac8e7ad,leo_room,True,れおさんの喫茶店【共同運営マガジン】
mc7c43a9831f4,tatsuopapa,True,❀龍神のご縁結び｜メンバーシップ限定共同運営マガジン❀
mbe6d15a6e1ed,yuyu001,True,余白の書架
m8fb499ecbcbb,reipichu,True,集まれ！白銀の髪同盟【共同運営マガジン】
m41a7aa3dcc38,hitsuji_natsume,True,漆黒の絶対領域【共同運営マガジン】
m1fb06cd6a61d,modern_holly38,True,ダルメイFC
m3c958fc46238,lemon_lemon_,True,Lemon🍋みんなのアートを応援【共同運営マガジン】
mb93cd6498ade,modern_holly38,True,肩見せ・肩出し・ヘソ出し共犯
mff3995742dab,hitsuji_natsume,False,ChatGPT はじめました。 ｜〜相方氏との可不可な世界〜
m9ca75386369f,hitsuji_natsume,False,一言日記
md82c931f7035,hitsuji_natsume,False,生成AIはじめました。
m0ab2af3a0dd0,lithe_clover1270,True,AIイラスト〖共同マガジン〗
m96728bd6b208,maiyu_x_ai,True,『OASOBI会』 共同運営マガジン
m2dc0108f262e,hitsuji_natsume,False,ダルメイ
m7dfc45be3f70,hitsuji_natsume,False,Xmasクロニクル─総集編─
