key,like_count,comment_count
n31d75db9511c,67,51
n1512e8172a8e,57,47
ndfece4ee3222,92,54
n6fb0b368e367,106,95
n6f771ed4621e,157,79
n229bb729240d,139,96
nd82a42a57337,90,62
nb6e690b59ddb,119,99
n7670acd8aaa6,193,100
n6520cf275443,120,59
n4aecaf01ee32,98,32
n38c89e081640,99,53
n43d7c34ad897,123,80
n62208626d161,98,39
n0b2f5c3a0835,111,62
n207b9d8f40dd,123,98
n14d3573506b1,76,55
n9f9169fb43e3,129,68
ndab3bd38f256,90,20
nc8b91a069245,79,33
n44479216bade,75,36
n7e5e41ac7f6c,65,22
n6302ee367527,68,32
n2e858fd12cc6,71,24
n70fdadf98e58,45,20
nea44bafd6efd,65,29
n12382ff96b48,62,33
n64a979bb3637,48,10
n7b2adc832d74,55,26
nfd2e1bfb6dea,63,25
n038072f157c4,62,13
n4182011e19bc,93,31
ne17f4b3373c0,48,18
nef6c9dea4fec,46,32
n9e574b42844e,55,16
n7e0550e53315,51,23
nf0edab0e144d,53,20
nf72e92fb7eb0,53,39
nc3a26fe15b14,53,8
ne8ac9da01fe1,58,16
n5a4e80b0ec96,54,4
n8e59a7661319,61,17
ne9517ecd2d99,58,14
n7127348f08d4,54,12
n246fecfaac80,50,12
n978d1566c7ab,40,16
n45df864f52cb,36,11
n07a7f96f0142,50,12
na9b2b38fdb9e,44,12
n30f53fed327c,41,8
nd9823c01d0de,28,4
n074974b8ed0a,37,7
na166e99ce89d,54,11
nca32edd63595,44,6
n86e24fb57b39,44,6
nd3b500f613a0,41,12
n5b74bb9acec5,45,10
n8ef8612f0377,42,4
n75910b6a32f2,23,8
nbaa2d93dcdc0,43,6
n63bb50a8ca86,35,19
n3e4b3be2dc37,43,6
n83a56028ed43,45,12
n52d3f9dc87a2,40,8
n6cc11b998cce,52,2
n94a734292e50,36,7
nd2a1e062c773,21,4
n937f8aa4f98e,22,2
n2dfd7c177100,13,0
ne897f648ec9d,14,2
n85722b08cdd8,19,8
nb640964689cc,37,11
na25cb972e227,42,10
n9cf5e9a6d800,41,16
n77f4659e875b,50,11
nd94d403be2a1,40,8
n1ffea479af4b,54,27
nc6d960fe8231,48,16
n784e8a5e8118,95,11
nf2b7ffaec7eb,48,12
nfa179bef730d,41,8
n936e8f41c769,52,8
n4976507c57c2,34,6
n03d221951338,36,20
n31c9fcd69cdc,35,5
n9e35d4c73adb,48,9
nd95a560ae933,32,8
n42c57835799a,31,13
n9a716794dd8d,37,6
n870661aa40f6,27,4
nd456fd919dd4,25,4
n34fc29638650,29,8
ne124be30fd41,24,2
n265c9b1bb126,36,4
n4743aced9ff0,20,5
n373352499816,27,2
nffa1f86128fa,38,2
nc0a60e472148,31,7
n4d9f2a9b81f2,28,12
n622a4e2d03fc,27,2
n75e89b9414e9,23,4
n07d77f11f9c6,23,4
n1e05218d7967,19,0
n9b27cc80aba7,18,4
n5c0be726ed21,19,2
