key,like_count,comment_count
nca1246e92831,198,7
n85a7f6328736,16,0
n215179d56620,35,2
ne9628dc21f74,13,2
n28356329ed74,66,0
n5ab7495add8c,60,0
nd57100eadfa6,53,15
n4117689ced9d,40,5
n6e54212a864c,24,0
n717639260dca,62,5
ne55839706980,35,0
n12ae02443b7f,31,0
n7318dac372df,25,0
ne2f724d7918a,52,4
n6c7f8ffd2aa1,34,10
n3c3995ac6165,44,6
n15996e8eff3d,60,3
nf2fe2267f12a,37,2
n840c2ed80699,26,0
nf9bffb2beaf6,25,0
n1bb7993ec9f6,42,0
nff66119f889e,28,5
n046d2f4fcf8c,11,0
na15f66e95593,75,0
ne156c422b22f,60,6
n2a9a45230e79,47,0
n6f39f81056f3,30,7
nf337936659c2,31,5
ndcb7bf4b4617,70,2
ne539551e9738,47,15
nef51922f7d9b,57,6
n6af9dcec98e1,56,4
nb6f2855a0408,12,0
n7626535e102a,65,5
n205284f30ceb,46,4
n0f9496a5eec6,53,0
neadfb9d9de46,40,6
na7f0e236db43,71,2
n87676f1c6f1f,68,16
n1e8eb380694e,23,0
n80c24ab95e51,61,9
n274e9711fd14,57,4
ned857e57adb6,28,8
n3bcbbae6dbf4,56,8
n31deb816133b,30,0
nf01e48ee797b,107,10
n412a95fd918e,36,2
n2cf5f99aab70,47,17
n62fa72c33c42,21,6
nb155faa202e5,63,5
n6ea25dee4174,58,8
n21b8b0eeea1c,66,0
ncf045a5d4d98,33,8
n98497946abe6,27,2
ne7fd379dfa93,30,0
n87828f7f0733,39,4
n260969d4ce01,44,0
ne628e372cca7,59,127
nc7b099431b5c,11,0
nec81094374c7,28,0
n50f9ee0bfd02,49,12
ne1a8a7eaf089,25,0
n20e9d4e2c8f4,48,2
n95e5a0e75335,38,6
n2783d27c78f7,38,2
n8fc1de547e55,61,4
n971bcc824167,22,0
nb4f666675d85,30,2
n415916cb4be2,19,0
n44b437ec0789,34,3
nf6bf118709ec,20,0
nb2900ae57d28,44,0
n07af8aeb7e9c,25,12
n0342b43a7196,22,0
nec04fc030b14,37,4
nbbcb93a1d5b3,18,0
n0162ea27f8ff,35,0
n92fc8a9e02d4,19,0
n45d481fd1c2f,62,2
nae3bd29191bc,29,4
n1ed01ca19a23,26,0
n166b66c749aa,190,18
n5c28a75740dd,14,2
n8c643a6b5b8f,13,0
nf25469ec7677,17,0
n42edb6a1e414,13,0
n20e9d960c070,37,0
n8572f9362f09,11,0
n093b22203186,11,0
n34bb8221fc8e,24,2
ne024d293276b,36,0
n3d8d9ea1cb8b,8,0
nf9fb5af6d232,19,0
nf1dce561860c,9,0
n50ce8f597c0e,23,0
naa3c4d519660,13,0
n0f9eacc1432e,10,0
nc805d1b61ac9,15,0
ndbe795875902,15,0
nf197ef0cb25e,15,0
nfd1565a0a642,12,0
naeb80ea7cf5e,11,0
nd184a44ee267,10,0
n4bae7c32d6a8,57,2
n1c0d73a9d829,24,2
n8f163659274d,30,0
nf0838f432b65,123,6
n9be2ecc6babc,21,0
