magazine_key,owner_urlname,is_jointly_managed,name
mb3dc2cd9766e,mame_mame_go,True,【誰かと誰かがつながる】まめの共同運営マガジン
m45e61de5e47c,supertoraneko,True,トランスミッション
mf2e12dc63c25,jeu3eds49,True,【共同運営マガジン】頑張る隊
m9186cf842d83,marketer_note,True,共同マガジン「ハルマガ」
mc4827a8e939b,sai_chat_gpt,True,みんなで紡ぐ絆と成長マガジン
mbbc52210a8ae,shushu8823,True,明日香の エンためになる 共同運営マガジン
mc8ad7fa1a478,legacy9999,True,みんなの成長ラウンジ【共同運営マガジン】
mbefcb2e5a397,kinoko1629,True,【一緒に創ろう】シュンの共同運営マガジン
mef2032492c4a,ma_can,True,【みんなとまなぶ】共同運営マガジン
m4eb9deb52a78,marketer_note,True,共同マガジン『ハルマガ＋（プラス）』
m23582a53c6b2,hyu_nisworks,True,共同運営マガジン「千へ向かう声」
mc1e5f17df1a4,hyu_nisworks,False,ひゅーの考察ノート | AIと分析のエラーログ
m9fadad39602c,hyu_nisworks,False,スキなnote｜クリエイターさんからの贈り物
m37050463fdfd,hyu_nisworks,False,なんかただ素敵な記事を応援したいひと
m79acbe03abca,hyu_nisworks,False,ツール記事まとめ｜好奇心のラボラトリー
m25121808d3c5,hyu_nisworks,False,完結｜スト６の分析、やってみた｜「上手い」を数字で可視化する
mac586129b98e,hyu_nisworks,False,有料記事まとめ | 考察の深層
m979056fab1c3,hyu_nisworks,False,そこしく。｜そうか、これがしくみか。シリーズ
md4745dc114c8,hyu_nisworks,False,完結｜AIカンパニーへの挑戦｜AIと仮想の会社をつくる物語
