key,like_count,comment_count
n8fa1b778d209,71,6
nafd3d597b384,10,0
nb84cec6af183,53,2
n730e6feba793,73,9
n32b345cdb93e,65,4
n1a4c9087d520,37,4
ndac1033d72a8,71,4
na22c9c45d2e6,56,4
ndc6bd82fd095,33,0
nb62cbf076103,29,0
n215b11fa4629,99,12
n62b2524e641d,48,0
nfb31a16e7325,89,4
nba848d554b47,37,3
n223621c28599,57,2
naf0db7d257bb,42,2
nbbc9a3eaf883,33,2
n9e65fd9b6dc3,76,0
necedb121a969,69,0
n664c11195416,39,2
na73f629b478e,77,2
n0399447c5d1f,97,2
ndb0644d0d38a,52,0
n81169050b45f,47,0
n8b146a7fdac7,75,0
nccc9fffd9e6f,58,5
n5b307b5ee509,36,2
nf481ed106fd9,48,4
n7b9a2fb11915,152,2
n9ff0cfeecacb,50,0
n4c392fe8408e,56,0
nd4e4bf10ee49,48,0
ne31860950fa1,69,0
n243bc764e488,62,0
n0bf705cef445,64,4
ncdf470b8a441,27,0
n82d80024d6ba,34,4
nd8ac43541e74,49,0
n0a0bfe023c24,38,0
nc2dbea084ab9,166,4
n527c21d28038,64,2
nf75da5339ed1,96,9
nd54b442ad2d1,42,2
n521baebc32f5,48,2
n61599de6fad4,71,5
nade236c19753,124,6
nc7d87d1497e4,92,6
ne34944fe147b,67,4
ne023a6a94411,75,6
ne4460b77de07,56,0
n1c78e1be413b,61,0
nc607875fea19,81,0
n5d397bd403fc,67,6
n4fa6aab77866,80,4
nd754878ecef3,49,0
nb897d18462dd,44,2
n2b998d4a29e3,70,2
n3a3d4139e1f7,41,2
ncb65efdd462a,45,2
n0b96e85f73cf,75,0
nc044b659f730,36,0
n3577580c929c,54,0
n9687cced66da,48,0
nd630204d4434,42,2
ned4d6efb8b8c,192,12
n6ada839d2b0c,39,0
n9dee321777d9,38,0
ncdb6effb886a,36,0
n66a5318e2685,38,0
n146af4d889da,24,0
n662e121f3c2f,19,0
n5adff0b89218,16,0
nf1fc890c62df,10,0
n93b6a8c3b2e9,17,0
na6889651fbb5,13,0
ne503ce1db56f,15,0
n4b71c34ba7aa,27,0
n6d8c8591a7d5,4,0
n31a454bcfd5f,2,0
n5d3dab8c8755,72,6
n7eaa29007b0a,5,0
na31d1dd33257,3,0
n3937ff82c6df,5,0
ncf52637be6e9,29,3
