magazine_key,owner_urlname,is_jointly_managed,name
mc4827a8e939b,sai_chat_gpt,True,みんなで紡ぐ絆と成長マガジン
m45e61de5e47c,supertoraneko,True,トランスミッション
md2a022132e8f,mugimugi92,True,【むぎ屋】note×AI活用推進マガジン
m7d7e5bb35223,akari_seaart,True,みんなで作る！あかりのクリエイティブマガジン
m97848c1bdf32,tatsuopapa,True,自分に優しく、人にはもっと優しい成長マガジン♪
m6bd895228670,psychicer4972,True,みんなで創る！　優しさと勇氣を贈る成長マガジン
md96759f4be5b,kyownruby,True,きょんとみんなの🌸フリーマガジン
mc6810aa41870,supertoraneko,True,共同マガジン『AI-LA（アイラ）』
m41a7aa3dcc38,hitsuji_natsume,True,漆黒の絶対領域【共同運営マガジン】
ma4dad1f25900,n_kazumai55633,True,みんなとミナトのAIイラスト展示場🎨
m038e1ac8e7ad,leo_room,True,れおさんの喫茶店【共同運営マガジン】
m39d402d2a311,joe2x100,False,【プロンプトマガジン】
m8fb499ecbcbb,reipichu,True,集まれ！白銀の髪同盟【共同運営マガジン】
mc085f157d924,shio_batapopcorn,True,ダークファンタジー好き集まれ【深淵図書館】共同運営マガジン
mc8d9b6f1c0b0,joe2x100,False,【素敵な記事コレクション】
