key,like_count,comment_count
n81c4eec465c2,104,93
n408ace3a2bde,32,9
n3c4cc7546c29,56,33
n7f12186d7375,47,33
n308174e4025c,101,58
n132514b00ddd,58,44
na53c4eac39b9,117,66
n8df4b1d731aa,58,51
nff977a0cdbdf,64,49
n7dce519330c3,152,119
n30b6cb6cdec7,146,33
n6c0ba364646d,68,37
n99aaa72543b6,130,60
n3f63225d5338,93,62
n12069de21dce,73,43
nad1cff036998,91,71
n9cdf03d8d458,71,62
ndabdffa3585f,87,37
n63b035638856,70,61
nc14a1243e809,184,183
n376a8d176f5e,77,36
n5e03b8aef07c,104,52
n936b16eb34b9,64,35
n7e740cfc5fce,119,41
nb05037629dfc,143,37
n1cdcf505f910,119,36
n111fbfc22da3,345,93
n6a6731b1bb07,109,33
n52e8a0b8d976,265,51
n33c3786a8c0a,54,33
n96fdd23e76b7,122,58
n01664b3c25f0,69,22
ndc269b57911d,112,40
n12a8431dc240,65,23
n2656b34564c8,62,18
n4b45540fc238,65,44
n11c371e0015b,126,42
n7170484aebb5,71,31
n03996f26c637,53,8
n52e534bf0411,74,25
na49497d205ac,130,70
n4483ea3d4c94,71,36
naa1d601c361d,160,79
n00640192fdd7,108,34
n9fdb67cbc454,136,50
n44290178be17,142,46
ne111366585e1,58,32
n01b5fd12d369,79,28
ncab44d577d26,58,24
n34d6c85656ad,266,52
n73bbdeee4407,176,62
n7ef1c2b27beb,218,30
n27e90b40994d,161,76
n096c33bded83,67,22
ncda4a4be4d28,104,52
n3ebefc29295a,136,9
nebb550000b1d,137,3
n44d64b72a806,269,34
nea3ba58998c7,142,2
n1b58ce23b4c5,159,31
n6625a4f30d7f,121,5
n31b4a8a30372,148,20
n31619810ff51,869,45
nbc381a3c6979,19,3
n0f97df989e1e,64,11
