magazine_key,owner_urlname,is_jointly_managed,name
md2a022132e8f,mugimugi92,True,【むぎ屋】note×AI活用推進マガジン
m8fb499ecbcbb,reipichu,True,集まれ！白銀の髪同盟【共同運営マガジン】
mdb292cf776c7,akari_seaart,True,アカリウム｜みんなの創作が泳ぐ場所🐟️
mc6810aa41870,supertoraneko,True,共同マガジン『AI-LA（アイラ）』
m41a7aa3dcc38,hitsuji_natsume,True,漆黒の絶対領域【共同運営マガジン】
mc085f157d924,shio_batapopcorn,True,ダークファンタジー好き集まれ【深淵図書館】共同運営マガジン
mb3b409c964fe,ktcrs1107,False,Note運営データ分析
me49a0bad66e8,ktcrs1107,False,データ分析
m1fb06cd6a61d,modern_holly38,True,ダルメイFC
m779b42e18707,ktcrs1107,False,今後も見る記事一覧
m6b8f73e2376e,ktcrs1107,False,KITAcore’s Generative AI Log
m98debce90244,ktcrs1107,False,KITAcore’s AI Art Gallery
m33ce42803732,ktcrs1107,False,Prompt Engineering Studio
m96728bd6b208,maiyu_x_ai,True,『OASOBI会』 共同運営マガジン
m8a4041323c24,ktcrs1107,False,Note運営データ分析
maf6903d72cce,ktcrs1107,False,日光と体の関係
m1c744819ae1c,ktcrs1107,False,画像生成 Tips
mc19abe9547b4,ktcrs1107,False,信頼性
m75e2f4e7e4ef,ktcrs1107,False,Nano Banana Pro レシピ3部作マガジン
md1c85d0a934b,ktcrs1107,False,Python冒険記
m2f8e207b5060,ktcrs1107,False,生活家電＆身近なモノの寿命を科学する
