note_key,like_user_id,like_username,like_user_urlname,liked_at,follower_count
n7b870afefada,14120872,うぱ先生,upasensei,2026-04-17T10:35:41.000+09:00,22
n7b870afefada,535586,ペンちゃん | Gemini専門のAI絵師,tnakabe,2026-04-17T10:27:16.000+09:00,1035
n7b870afefada,14052044,レイ＊育児と育自のn=1,rei_n1_log,2026-04-17T08:51:48.000+09:00,293
n7b870afefada,11849675,早起きFPパパ　＠双子の勇者とおてんば姫の冒険の書,ready_python3042,2026-04-17T07:39:50.000+09:00,370
n7b870afefada,12807364,ミウラキョウコ｜パンツ一丁倶楽部の裏の者,bigoli_ishikawa,2026-04-17T07:27:53.000+09:00,1363
n7b870afefada,10139773,石川パパン,papanvlog,2026-04-16T22:05:14.000+09:00,445
n7b870afefada,12497228,がんばってネコ,light_whale8787,2026-04-16T17:03:03.000+09:00,2147
n7b870afefada,11865154,転勤ライフッ,tendumalife,2026-04-16T15:40:34.000+09:00,357
n7b870afefada,13973635,サンキューパッパ,calm_lynx6773,2026-04-16T13:17:14.000+09:00,90
n7b870afefada,12444363,星屑サイダー,ciderofstardust,2026-04-16T12:13:28.000+09:00,960
n7b870afefada,12568545,airi ⌇30代ママの暮らし𖠿𓈒𓏸,airi07,2026-04-16T09:05:12.000+09:00,47
n7b870afefada,9071051,ゆっちぃ先生,yucchy_san,2026-04-16T00:47:46.000+09:00,657
n7b870afefada,6545749,にっしー心と体のセラピスト,nissy_therapy,2026-04-15T22:59:50.000+09:00,1920
n7b870afefada,11319097,ゴリル【哲学するゴリラ】,sinbu,2026-04-15T22:01:45.000+09:00,6263
n7b870afefada,12599846,やさけいAI,yasashii_keizai,2026-04-15T19:55:05.000+09:00,78
n7b870afefada,14245166,Aiko,firm_boar9192,2026-04-15T13:01:45.000+09:00,0
n7b870afefada,12846679,kikiの文机,pomekiki,2026-04-15T08:17:56.000+09:00,26
n7b870afefada,13215594,団塊ジュニー,ushidoshi_life,2026-04-14T22:43:35.000+09:00,576
n7b870afefada,12668215,天馬｜迷いをほどき、人生をひらくnote,tenma_black,2026-04-14T22:18:50.000+09:00,2495
n7b870afefada,13691177,J1 Strategy Lab,sane_crane8687,2026-04-14T19:41:15.000+09:00,137
n7b870afefada,14182875,ひよ丸,hiyomaru_sns,2026-04-14T14:40:56.000+09:00,8
n7b870afefada,10459935,bon｜ふつう会社員の備忘ノート,bon5635,2026-04-14T11:12:07.000+09:00,528
n7b870afefada,13175349,ともり,tomori_gerbera,2026-04-14T10:42:04.000+09:00,199
n7b870afefada,12408945,ちっくん｜三冠資格ママの受験・習い事奮闘記,chikkun3kids,2026-04-14T09:21:11.000+09:00,489
n7b870afefada,14162745,TRTRTR,rtlovestory404,2026-04-14T00:06:28.000+09:00,22
n7b870afefada,3527294,はゆえまま,hayuemama_1005,2026-04-13T20:35:19.000+09:00,1682
n7b870afefada,14076062,5050/障害者支援員✖️障害児を育てる主夫,you5050,2026-04-13T19:18:29.000+09:00,67
