key,like_count,comment_count
nec69a95fc26e,491,51
n7f4a30c3f241,222,6
n5dcd7d35b46b,240,11
n5371dee7e20e,218,11
n4cd8ae4c1f8f,178,12
n4b9b2bf3c35c,109,2
n51b46ea9a2aa,236,13
n79d2029d51d9,268,14
n2c4f95ee2945,259,6
nc3c64ad113f6,249,8
n2efcd407336d,235,8
n30581e481ceb,284,4
n9dee9c1e39d2,226,9
ned366dec6453,96,2
n45ff6055bf00,199,5
nc93cd8901467,271,15
n8a31171c5544,225,2
nf3e8ab5a6cff,198,8
n4236b8bd5099,198,4
nb3020dd86220,199,4
ne31f86f22218,227,19
n5d961580c470,214,10
ne0493ce22e1f,218,8
n1cb1dac8905c,114,2
ne937cce960b1,169,14
n74e2ee247ab9,174,8
n24531033bc1f,166,9
n1cae8739a84d,209,8
na24a42d05b41,221,18
n82ab3602ec65,222,6
n0ac2c3444989,210,9
n0dbd199b98a8,228,16
n2dfb0e87db03,236,23
n8b24227119ac,278,10
n123fbcf32f82,250,8
n9a106a1df153,256,17
n52a33374ca47,220,21
n63c465143415,180,7
n3c3dace30ac6,230,19
n409866484455,207,20
n84e3c3872b9d,181,12
n0efae11c6e85,177,20
nd31d513f424a,185,15
naa1761101560,139,15
n0cfe48b9f4c0,177,17
n04e0563b97cf,147,11
n0aba43b561c9,254,12
n42040f12a70d,232,18
n9175b378769d,170,0
nce476774cd44,189,4
n49794f8c30c9,155,15
n00638cd7d041,78,4
n798e89ace5ed,118,7
n9e44bb3343a1,118,18
n184190edcf6e,110,8
nfca21bc071f9,89,9
n3894360fc092,95,14
n3be830c0af51,88,8
n9a3a2a997eb1,99,10
n2661d3f1fb02,91,11
nd7bf1ff810c9,96,8
nce71a51c69a1,99,11
nea5be13f66ac,87,6
n97f8f386a9a8,91,12
nac0ae11b64eb,89,32
n9e161d0c5343,80,4
n21afb407c70a,70,11
n2fb3bb6d51e3,61,6
n1264180b24bc,72,19
n59794c42a03b,75,17
n3f0bf139a700,101,14
n0fd87497d1a9,102,6
nc33cb39915fa,85,8
na88592a6115b,82,1
na69672afb4c3,91,3
nd6e2e68cead9,77,5
n8ed7be4f5802,90,18
n0c934b0121c5,84,11
n152f51250b76,77,7
nfd8d04f028bf,52,4
n3a7dcb5bc676,57,3
n1d5a6f56bbb6,48,6
n0f615f4dc207,45,0
n862ac1100542,77,19
n4de539de62b2,75,3
ne6c7734fddb2,80,5
n8ef4a5718b18,40,6
n8d0cf63c02c5,30,0
ne349a9819848,26,2
n07d2fe189ce8,29,2
n3a9ebc6224f8,22,2
n31f18b192c74,40,3
n0445095736ee,39,2
nc1a597d19b64,92,14
n163e4ecdbbb8,48,4
n6fa948844fb6,61,2
n2bc2ce36c815,34,0
n9ff53fadfcd1,44,4
n481f764f0dcd,63,2
n678a47060494,58,2
nc640a05b33a1,86,3
n85455612a361,40,0
n4594f425bca4,48,2
n16d77d06e7ee,57,0
n16644562bdd1,36,2
n91d97de0afb3,65,0
nfa30ba32b5d3,43,2
nb30bbc7d1aaa,28,0
n006fee3df7fc,15,0
n21b0a121d447,8,0
n131635fd18a2,18,0
n44210c026ac5,111,17
n8bccadd61a72,13,0
nca1ab82ada47,38,0
n74bca07871f5,27,2
n73bacd17ab2b,22,2
nac9b1bf08f48,29,0
n66a7ec3f48fb,31,0
