key,like_count,comment_count
ndf02a8a84e1a,1040,107
n5c839e63bfba,77,10
n18d871a5fbd1,60,9
n43ebf3a9d382,93,11
nb460352a56da,130,26
n1db9d4719b49,177,37
nc15bdaed1ac4,103,22
n5f8e0032944a,96,14
n477978e2fc63,80,11
n06faa1b02f38,76,18
n070d74c7b1b6,121,33
n2769bce71ab8,118,14
ncbc827900f3c,128,92
n628a2d1f145e,77,12
nd048e42c4a9a,121,76
ne4ff627d0b02,87,25
n8804f3d86177,123,12
n08660bf1de2d,86,16
n670e4486ed4f,90,15
n9dbfdcd27d9a,90,16
n3657cf436059,123,38
nddc3aed55aad,138,50
nfb888b9b5562,201,44
nd7bcab69dc59,101,19
nfad741b5a603,98,33
n2c295c9794ff,146,23
nc2dc5c169394,111,38
n68e9e636eccb,102,46
n6b1f19298c3c,158,55
n2946a9234c45,113,26
n39fdf1b81c3a,86,13
n91660107c4c9,76,18
nf0ab2f197fb7,75,22
nd844a19faa62,448,35
n8443ed5a5b70,81,36
n1c6b0122b778,83,22
n3e4aae1d6459,147,37
ndcdba8beac06,114,28
n87c12c0b2e93,121,32
n9c6ff5608995,99,11
n055d268c466d,83,40
n44d9869e8258,144,41
n0aa1e868c1f0,122,24
n1283b668a467,347,33
n33aa50b2fb4c,117,18
nc89cb7d9122d,258,46
n71c59c47f5a1,112,35
nb19ea885762f,93,17
n4490d3b895f1,147,33
n270fce89eaa9,147,53
ncff696069bc1,319,61
nebada4908f02,93,29
nd16ed7639f7f,180,32
n2fb20525b499,89,31
nde076f1f07dc,187,32
ne4e8f07a1cf6,584,58
ne28ad0efebc2,640,68
n5b1692a523f2,128,27
nf083751777c0,105,39
n665d118867c2,123,32
ne3ce8e7aac47,79,12
n052eb41b4667,233,27
n5b2040ef3201,109,22
nb3845b3ca853,134,34
nbcf7ed710ffa,124,32
ndcf1b6381cc9,121,16
nf33fd1b0c577,55,7
ncb2492fa2f97,93,23
nb0aa1974aa9b,98,22
n188a06e012d6,105,21
n7aafed9c4d00,67,18
nc52e8d74dba8,66,20
ndb6b594c09ab,39,4
nb4a459f1857a,111,10
n7a10857c600a,62,24
n7678994a91a4,85,18
n4659dd18c880,444,57
ne0434f0ffc21,187,25
n79402fe6f0ab,67,14
n3cded883d648,48,10
n929dfb334fd7,70,24
n6a88d2ccde14,74,24
na0f51eaf0718,76,45
nc81d8bd9db86,69,17
n7ea9d17d2838,75,22
nd73315f75efe,43,14
nd43f38fdef05,124,23
nd9dbf348f292,52,5
n2fc24298cb93,68,22
n5d98120890f5,89,33
n62bb9d9fde44,56,4
n693f8ef90e96,92,19
nc72a62cf94cc,49,22
n069ef43ae21f,89,25
nc2703c7bbc74,54,16
n1d71cf6b3730,68,22
n2efa0ecb222b,44,18
n3edbcf331486,49,20
nba905015e124,46,30
n6374df8ec31d,46,18
na11692bdb2d6,54,17
nca6226e67d7f,50,24
n57f8445f7be0,67,25
n8f8fb62cebff,58,15
ne4111bc9474f,50,28
n2cc2630d0ca4,44,0
n9b036c673f71,38,29
n29de4f9ed1e7,45,14
nf142c55eb771,53,18
n9357d842b2df,43,20
n2d7aaad525dc,46,30
nce1b9f704fd5,55,8
n442c8caef6ca,44,18
n7d09ee3e335e,50,19
nb6e58e9255db,59,18
n2ced0be07099,45,26
nc695794d0923,146,45
n59d060fa68b7,49,24
nbc5559a48878,56,29
n601dcfb686c3,77,22
n87199d1ffbc2,43,26
n358440a2e2af,42,20
ne0fac2fd5553,54,31
n1c8ca6af5161,62,35
nb8bd95919b40,50,24
nd5a69e9a3fac,64,30
n5089ec4e0ff1,51,31
n1c31935fa215,49,36
n62558890fc55,50,26
n5d8102d60edc,55,29
n3f6adf66ce6d,103,50
ne56592f0cab3,30,23
n2b9c80e4113a,45,26
n274407008c47,43,18
nad9615f0d2ea,80,28
nf17f9344b099,109,44
n66e93109c67d,5,0
n0d208d0e7c7f,4,0
n797764eddf4c,9,4
n4c27b81f0c30,4,0
n1e98d8b8b653,5,0
nc5edab753ae5,12,10
n4fcd6496fc9a,8,6
n146debb123dd,41,29
nf037dd05483f,93,43
n3589850b63bd,46,28
n0ddc6bef7e33,39,32
nba2dfae0c0c5,44,40
n0810d70083d4,44,30
nf7e036467571,44,31
n436bac43c0bf,47,27
ne6052102caa4,51,47
ndcab7f392ad6,48,44
n7331b2bfd683,43,35
n340ffe1b0913,42,50
nefab904ece1a,33,22
n088e842a993b,47,26
na581a0b85937,53,46
n732f2b177df4,52,36
nc2ecc034c5e3,38,37
nd940efeb7bd3,59,66
n303da3a6de16,51,46
n0b1a67673973,80,46
nc3075c9edf6b,48,48
n96648fb44669,59,36
n0e37927df737,63,50
nc627b4c7ddd5,51,41
n9ccfa215bc3b,46,35
n7cc57eacfc42,70,40
nf8e4cc6dcd54,76,74
nd1d9718b575e,68,45
nc93dcb68ffe7,20,4
n9a0f22aa57f0,78,45
n2d9d5ef04a27,59,31
n962ce8691603,63,43
