key,like_count,comment_count
n25eac799328d,227,21
n71c5fe25331c,22,8
na47274365f20,33,6
nc5b0d9c0e103,32,5
n8a90e93b1934,21,2
n1b716472cfdd,33,2
n246b59d52a6e,34,4
n732c443fbcde,45,8
n28c62bbfafd4,27,2
n8126c56bb51f,25,2
ne83978a54dc9,32,4
n6fb930cc179a,35,4
nae8976b6414c,24,0
n015be553a22c,30,2
n1580be6e2fa2,23,7
nb33c220cf03d,48,4
n8ebf4da31ef3,28,2
n71fe21285994,18,2
ne5ba00bcfc43,45,8
n8d0f3d6e56c2,43,4
ndbbef80dc742,29,6
n3744eebbccce,50,8
nd06bae360442,27,2
n77815e9a70ee,47,6
n16c305576c65,58,6
n31085774fb6b,50,9
nf265481baae6,39,5
n63e12e41ff01,42,0
nafc906f432c0,80,9
n5fdc90eae48f,28,6
na4bc3888c596,48,5
n09c3f3c241ce,41,4
nf1d4bed10cec,32,4
nf42ec0a8250b,28,4
ndfa7ddb9bb8c,60,10
nb3bac4e10995,41,0
n3744aa1143a7,59,14
nbf78a6d463f8,27,0
nbd6ba4385b9e,19,0
n5dfff2ef82f4,38,12
nd18734d6a8b4,44,6
n401d502ec39d,31,2
n408f8991616f,32,8
n001ccaa454ce,30,8
nacf0a12f1892,21,0
nf838d5cb6130,28,4
n5ffc919f2586,18,0
nb8fdad08e4f5,20,0
n27f8d93e0a40,21,0
nde0099a3b695,25,0
nc2936516dd0b,23,4
nc59da8ebfc12,23,0
n323117245315,28,4
n5737b0f2472b,20,0
nb2d6a8d1c6ea,27,4
n2cfaa6193ec9,20,2
n90e9e8962b10,39,4
nbe86a40568bd,32,13
n7a1a275a5d10,20,2
n49d20b4f5823,30,9
n5b1d8676866f,13,0
ncb463394efec,15,2
n1a0423ee18b2,43,14
n2cef4ea3e9a0,38,4
n8f893da8fe63,19,4
n13406734438d,20,2
n380c5fd692d2,24,2
n883d81803a61,16,0
n2f6e3f45e95c,22,0
n04f70c07f82d,14,0
n6ce8be9abec3,20,2
n4b1e27f18e77,21,2
n5d6046d126ea,67,0
n4f52176b8183,33,8
n8ca3e8874d89,15,0
n9f93ab7b16f9,30,2
nf44227ab580b,16,0
nfbb59df830f7,27,0
nf4cf7d024099,34,7
n1b00a0d5bc4a,62,2
nd808c8759927,27,4
n918642d84974,22,3
n969123301646,25,2
nb2682dc99601,23,6
ne7ccb982747a,31,2
n43d2d0974d83,30,4
n3db08d946b44,28,0
nb220adae3867,24,5
nf5b4d519006f,19,0
nadb7e54026cb,30,0
n04f3f560e2ee,14,2
n83537e254b76,42,6
nd77dccb5b4ea,26,2
n2c6e5fcad1d4,28,3
nc12bafb9d120,18,0
n4eb1aa6c4294,25,3
na6dee7bf3bad,27,6
n59fdf13feabf,26,4
n3fb80bfaf57f,34,2
naefe6cfccf40,28,10
nc8ecafbb432f,51,1
n7f26375a104f,7,0
n87fe7ec51be6,15,2
n2645d51f4933,19,2
nff1bacb8aaec,39,4
n662378b5606a,22,0
nf1efecc10bb2,38,14
nfb1f7d74073e,91,0
n9ebd6d2d14d5,22,0
n52c981285ed9,39,6
nb1c174870ec2,31,11
n0f209bd5121d,34,6
nc36a61580d67,27,4
nf3eccaf4741e,36,2
nfe6e8054e681,26,5
n82fe53b96c85,23,4
nf888a810a712,20,2
ne446723f95fd,35,4
n6de1061316de,65,16
n47dae5141e23,33,7
n36dce1fbbdcc,37,16
n7010d1704eaa,22,2
n794bed265f57,20,6
n4cfc4934e92e,22,2
n559ac37d5cde,29,6
n2ea0cb587d2b,16,0
n0424ff9834ad,16,2
n45d603f2a6b6,26,4
nae48e3536ea5,31,7
n38cb2a1a59c0,9,0
n1d5ff5f7e08c,14,2
n8c096d9a2ed7,39,2
n64ed3e3679d3,39,10
n7a3e4ce54567,28,2
n22c97710ff30,27,3
ne9ce91ae5f98,16,3
nfce9d32338db,10,0
n1a3acb4823de,14,0
na7648fe2ff08,10,0
n5455a947113e,26,5
n321996628e83,27,2
nb564045bf1fc,38,2
n99f5f1a7d7bb,11,0
n618b3ebd2bc4,16,0
n15583e0b4fe3,9,0
nee374bf4b663,14,0
nb301ca0a356f,15,2
ne7c2adbc8c7e,15,0
n773ef529abc1,11,0
n6579ed9ce331,12,0
n8d9581865470,21,0
n23709d11f865,9,0
n3d3679049cf4,14,0
n4346c9dee357,11,2
n62b122a85c80,26,4
ncea7c4eecf21,13,0
n35142c3dc9da,11,0
n0fddd94797d6,12,0
n2a6692e1f326,19,0
n330da323250c,20,0
n396fe106815e,10,0
n0868c3c29635,11,0
n0ce98576bbe3,7,2
n083617254e6b,6,2
n2cad39bac554,1,0
n51b6999361ce,15,0
n7308c7951a2d,16,0
n555fd9cc5190,9,0
n8cc27b12f406,16,3
ndecac21fe971,18,2
nb42846f6e475,12,0
n644afc8a7eee,15,0
n8c9e324d7cf8,13,4
nb848e6dbffac,27,2
n4cd17b97ab0d,17,3
n61deed417786,20,0
n8fad83832770,29,0
n196b93bfc332,41,0
nc1d5e22c2336,20,0
nfe0d63804ba7,18,0
n6b7830944ceb,12,0
n1c6727f3a5c2,30,0
n3ea03fc6f900,27,2
n336285517ee4,15,3
nc3df3f6a867b,22,1
n28702a1c181e,12,4
n0f4a1be1f18b,10,1
n474a64da93dc,12,0
na761c00edfb9,24,0
n0ff13fe65f23,21,0
n2a443d4c21cc,18,2
n5883842673c9,27,0
neec77b1df802,13,2
ndabe36440853,12,0
nf95efe15a06c,9,0
n89489634ac65,17,2
nd8fccdaf14a2,13,0
nac5c88d0d08e,14,2
nec6d9756af81,15,0
nd3e118c97dd2,16,2
nb7fef72f0f6e,17,2
ndeb1c6f12f27,6,0
n924825dfbe41,12,0
n2627071683f2,7,4
n973868e6b809,9,2
nd6e9125a3ba3,3,0
n17c482994322,8,1
nf2b88734643d,4,0
n4e384d5af443,10,0
n3bddf5a15b78,23,2
naa8f6b177a0e,6,0
nbd4baafa32df,11,2
n880129b8662a,9,0
n10557e86a32a,13,0
n7a43d82b6fc5,6,0
ne33065394de8,6,0
n9167f7602782,10,0
n9bcd76a53eb7,6,0
n975cc04bf575,4,0
n3134ec1151a3,4,0
n631573d3280a,2,0
n92ea0823c112,3,0
ne6e75d2d67ec,8,0
na9e8212b64c7,3,0
n7dbbca5e96ce,3,0
nd1655d806d24,2,0
n7e8ebeefaab8,14,0
nd3c3a2d0fdd7,194,10
