magazine_key,owner_urlname,is_jointly_managed,name
m3cc7fd715d5c,shirono_aru,True,PolloAIxしろねんコンテスト
m2cbf78b090f9,pure_bear1643,False,身体は資本！健康、運動、ダイエット関連
meeea83e51e88,pure_bear1643,False,やってみた
m1f27a106f303,pure_bear1643,False,Canvaお勉強
mf4a1edfb0e22,pure_bear1643,False,損切できないワーパパの資産運用挑戦記
m9f5d2b54a61b,pure_bear1643,False,読書メモまとめ
m9e0444890309,pure_bear1643,False,ワーパパ育児日記
m202ab11847f8,pure_bear1643,False,自己紹介
m8448c4c2959f,pure_bear1643,False,note振り返り
m702973a16207,pure_bear1643,False,ゆるエクセル活用術
m48799d79295b,pure_bear1643,False,Amazonアソシエイト挑戦記
