key,like_count,comment_count
n93f92157c16e,63,10
n06199d8ca0cf,123,6
n6615dc0f8835,165,10
n1b4a87dd4566,140,6
n619e576209c5,124,8
nef4e20183cd3,104,6
n1b133c4f9ff6,143,10
ncc5911ce5e95,161,22
n6549d7415457,156,28
na14cd9620faa,149,22
n49477cf226e6,222,19
n1c4f2cc0a6fc,158,24
n171b99a9a09c,154,24
n0c788b5dab0b,162,9
nb9feb1909f61,127,16
nff7c9fda8d72,160,9
n534ec5d59f2c,199,16
n64e5c895ce32,181,9
nf6697620ad38,127,17
n9e7cb7163ef2,304,18
n337f9a4768b6,123,6
n4e6373ef24d3,215,19
n16752c5395d4,164,13
n03f342169ddf,110,39
nd52cb2a77be1,138,16
n72db2c3804ab,110,28
n191e441595a0,128,18
n0b7301675a8e,122,14
nea67f35ca6c3,118,4
n8497be06ef8d,117,12
nced3a520dd3a,135,9
na209f017023f,130,13
nc3ea0b991853,123,2
n521776c1741a,119,17
na967336c6100,147,14
nbbb5e0d573cc,168,24
nf7b818026564,141,4
nc2625dfab36a,92,6
nd51367b16019,124,10
n9d1e5a015c75,108,21
n309405d97dee,104,9
n561164833223,87,6
nfe49a52b6fc9,116,14
n2309407f9a51,153,10
n976b1f8c8526,105,16
ne3fff6484ae8,103,4
n7bdd911b3e9d,154,25
n526c4811b874,155,8
n63c30619a4cd,120,23
n9703685f9c28,118,6
nf483850ad175,91,14
n1ea1dff3ade6,136,10
n8daf97f6c966,95,11
neb96eff76078,140,15
n0c418102c85e,107,8
n10982a7086ab,121,17
n5cf18d9d7ff0,133,6
nbebbcb63761d,73,8
na1eeb2c836a1,107,21
nca4c896613eb,104,14
n84ce517dedc8,111,10
nccd50446b7e4,111,8
n3618039c587d,95,4
na6604a09288d,142,11
n069a1604e59f,119,18
nf63f6f880d87,130,7
nac80ae7a5ef8,91,10
nb575ebd7267e,243,7
n1dfde65bb067,123,8
n588f264b0574,70,7
nf970fe3c1286,92,4
na42b8100555c,114,30
n697d8770c91a,90,21
nd94c36022b1f,147,12
nf2e527ad411d,88,14
n21ae365dfd7b,91,13
n1570e19f73f3,68,10
nb9e21a6def87,146,10
n9189a15113ea,90,6
n97d5f8da10c5,160,15
n582711c26e6b,71,4
nd810ad835792,96,16
n8af59bbb10df,72,2
nc2e9e09bc0d0,67,11
n0dcadefbc844,82,6
n6511eceeebfa,154,16
n48a0d854727d,73,11
ne2209d86816d,97,4
n14513824ba67,97,11
n4985238a2daf,102,13
n6ae3e53620d2,84,12
nf6a945041efc,98,18
n2c0148023ada,57,8
n4305ed4bf39e,68,0
n419ca4094a45,72,13
nd797a9c51c1c,78,3
n87467e7d2180,64,2
n9e0936362ddc,53,10
n15adbe152a51,77,31
n8ac46d0b6922,62,17
n2c191daf07c6,38,2
n4e6e316fb0aa,91,9
nad7ad4d24924,54,15
n46e6b77e8100,59,27
n0232ecc71c77,58,10
n56dede963019,56,14
nd605282467d8,63,21
nda10a2db4bcd,54,2
n6071933458dd,38,14
n7523edb1e440,53,16
ned85398e16aa,60,13
n90506a83db2e,42,9
n9f60a5f95982,404,31
nf946320fcdaf,67,8
n8d4c1f04a647,38,2
ne7585d199756,41,11
n77427e76f4a0,48,9
n7dbf089f9af8,61,6
n3e030864707f,45,4
n8268d9c6296a,36,4
n8e6ca90d50c7,32,2
nb725aec99e20,29,3
n2d8b3a09dc6d,56,18
n56a65866f20a,47,8
ndddf934e1e4a,48,0
n127179bfaa97,44,6
nf681b41f7b67,33,11
nacd47b38650f,41,10
ne71b20381a6c,30,4
nc91ebe8f278d,8,0
nfc26e859f7cf,49,12
n31dae795a8a6,48,6
n41433b1a6ce2,32,4
nc7f174c20d61,37,4
nf8ea35cfe466,56,14
n5f39878f0428,40,9
n748b062cc91b,37,4
n23c97a531bb2,34,2
n51f84c2bd70b,41,18
n9b509d7310b5,36,4
nd6c191fcc059,36,4
nbf8aa253d5aa,43,2
nd08f260d5bf5,78,14
nbaed8e7a0692,35,2
nf8994aec8fbf,28,0
n57d3ebe6d9dd,26,0
nd3668fa33be4,34,17
n286106a80560,28,4
nb54777a7c522,19,2
nc10c0dae45dc,16,0
nf3df379b897e,35,5
ne303c9229462,32,11
nc038f6719769,23,2
n5e3d150e35bf,28,0
n695065deb2ed,16,2
n669122fb239f,18,0
n3e58b90a9cf1,22,0
ndad048ea3a25,11,0
ncb8ed387f44a,18,0
n875fca1f778f,20,4
n1f778d144108,10,0
n18d6ab4024fa,11,2
n6b154692f30b,7,2
n882fffed7d9d,18,4
n04538fdc20a2,13,0
n55b64bf7ce5f,16,0
nd2b224f29cc6,9,2
n7940dbe60424,13,3
n9f06223ff55b,19,0
n4430724c0066,4,0
nfa90a53c6242,5,2
n65abe754a18c,9,0
nb3c2337a2234,10,0
nf54cfdbf225b,6,0
n347622153262,6,0
n752b2d6e6a1b,10,0
n195085dddd60,16,2
n1c3d2d69dac9,67,13
n24d37a24926e,20,0
nc38217a87e12,36,4
