key,like_count,comment_count
n14998cc4c573,200,0
n4bc48eb8a596,233,0
n942f038db3dd,176,0
n26436a2810d5,143,115
n66031e29b661,265,0
nd89d0f7721fb,293,0
n0fb744080ca8,210,32
nd990340b95be,210,47
ncc7100ec492a,295,0
n3e73405b571b,263,0
n22123d3b356c,306,0
n5b46add6ac51,398,0
n478860b07530,304,0
n9a265c66beb0,179,0
nc95dea64c183,171,0
n990050b3ba93,182,0
nf8bb2ee75aa1,473,0
nd9f7a344b55a,239,0
n6cee80134d46,379,0
n5653c6549f1b,154,0
neb935c76e481,851,0
n5cdbcfc7f4eb,625,0
nc04c772f85b6,334,0
n9d97ee1b072f,235,0
n76475952acd9,223,0
n6116501a5f9b,323,0
n70b8a2102538,541,0
n5c02a0271173,233,0
n98ada2bb51d6,486,0
nee542cd0a178,418,49
nc3f279b84194,421,0
na0c32395e318,341,0
n31c14564ca10,165,0
ne45740f2f224,272,0
ncf5304cb2df6,656,0
nde4c16d8a783,382,0
n4758166fa37d,173,0
n2004c8013295,198,0
n2fca2f69231e,147,0
nc5b4674144ca,105,21
n8e729832f152,152,0
nb920b1da8a2d,151,0
n953fed6f89ca,166,0
nf076e9f9b184,205,0
n7cef183fdd3c,159,0
nb812ce77ba89,119,0
n5d10a5a0f8e2,149,0
n6462c680a4c7,181,0
ne9dd3565f156,130,40
nda04a391abc0,117,36
n417c6ef92200,90,30
n6426c7b32711,255,69
n86958e2ef92e,242,52
n3ed6bf92253f,196,63
ne18b236df3b7,1226,110
n75f02a62e9a7,158,84
nc11b1676c48d,251,67
n92842278b1a9,182,62
n113367a2fcd7,172,58
n657297d818e3,183,86
n7ba2de3ee95b,138,48
n6b1b0df90f0a,117,49
n3346cf398120,88,51
n3e7c9ce2e799,119,70
n49dd03db4c9f,150,79
n99353efbba58,97,63
n1a4252d95a95,166,87
n0e178fe00c29,113,53
n55465861feb0,94,65
n6c867bcfc580,120,58
n64a6d571c7a6,198,103
n23dcd8c9e1ac,103,56
nc824140be9fe,104,49
n800928444791,73,40
n2358e8f49886,107,76
n4cb67f95d0c6,104,65
nf8b3620cc932,97,61
n1d33f9fea667,157,60
na45c04ac19ce,214,80
n7e13fd4f468d,115,55
n14bd45652fc6,196,67
ne8e480d2de5a,132,66
nf257622c12ad,96,47
n7bfc14fe1114,88,18
n18afea101de8,132,86
nb1bf0bb7ce8c,143,75
n7ddefdeb27cd,98,31
n31a4cd3b805f,202,68
n0b64d1121ea3,335,61
