comment_id,note_key,user_key,user_name,user_urlname,user_icon,commented_at,body
nca342dbf67a7b,n26436a2810d5,e980ac53d35a89b0fc377e3376b2b100,りょう　パニック狐🦊は旅をする,note_ryo_,https://assets.st-note.com/production/uploads/images/212542285/profile_14d43bf0fa5362979b5ff4732f96a027.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-06-15T17:59:15.175+09:00,"のあるさん🦊
遅くなりましたが、運営企画お疲れ様でした✨
楽しい企画に参加できて良かったです!!
受賞した方々も素晴らしい作品で、やはりなと思いました!!
素敵な企画作って下さりありがとうございました😊"
nc5d10356556ef,n26436a2810d5,8e5c187045c1ca6bb381ed4c669802dc,あずなぶ〜る｜SNS弱者のnote戦略術,alive_here3686,https://assets.st-note.com/production/uploads/images/275786216/profile_29c1efe430325758615b12432dfbdfe5.png?fit=bounds&format=jpeg&quality=85&width=330,2026-06-14T19:00:39.756+09:00,"しろのあるさん、

まずは今回この企画を開催くださり、本当にありがとうございました！！

受賞作品はどれも息をのむくらいのクオリティ(動画自体もですが、コンセプトや世界観が練り込まれているなと感じます)で、動画作成の可能性は無限大なんだな、と気付かせてもらいました。

みなさんのワクワク感や楽しむ気持ちが記事から伝わってきたこと。この企画を通してたくさんのクリエイターとつながれたこと。「参加して良かった！」と心から思えたイベントです。

各参加者の動画をじっくり見た上で一つ一つに心の込もったコメントをくださり、お二人ともすごいなあと思いました✨️お疲れ様でした☺️"
nc8714fcd9b0db,n26436a2810d5,01ddbff2272dfa442dbcbad571d1220f,りんくす@AI人格コーディネーター,links_lt,https://assets.st-note.com/production/uploads/images/257122051/profile_acfc71069bc6dfc32dc868290ca049c0.jpeg?fit=bounds&format=jpeg&quality=85&width=330,2026-06-14T12:58:22.763+09:00,"こんにちは！

人見知りするので、不参加でしたが、受賞作のレベルが、高くてびっくりしました😳

参加本数も多くて、審査もお疲れ様でした！

様々な作風が集まっていて、参考になりますね😆

スキ動画コンテストの参加者の方もチラホラいらっしゃいますし、またゆっくり見させていただきます😊"
nc5436d5a9a9da,n26436a2810d5,a3422023dbb74d68ed458374a9f4cc2e,スイッチくん🐻😊 │ 自作LLMを趣味で、開発🌈,switchkun_2103,https://assets.st-note.com/production/uploads/images/271744984/profile_daca16601326f1b3d4b6c09c0e069bc8.png?fit=bounds&format=jpeg&quality=85&width=330,2026-06-14T12:03:58.295+09:00,運営お疲れさまでした🐻
nc41206c714083,n26436a2810d5,e5c8fe184c42be4ac8723ded5278357d,ゆうまるす｜視能訓練士,note_yongmars,https://assets.st-note.com/production/uploads/images/253574321/profile_3822301105b766fa815ce0a83e5b2195.png?fit=bounds&format=jpeg&quality=85&width=330,2026-06-14T09:29:08.533+09:00,"しろのあるさん、おはようございます

企画から運営、審査とおつかれさまでした。
どの作品も個性があって、ほんとに完成されたものが多く、そこから選んでいくのはとても苦労されたと思います。
ほんとうにおつかれさまでした😆

そして、受賞されたみなさん、
おめでとうございます㊗️

たくさんの作品に会えて、とても楽しめました。ありがとうごさいました〜👋"
nc675154ec84d4,n26436a2810d5,ba0235617f1ab5e57c6cb49559caa64b,KEN 田舎で介護,fit_lion6308,https://assets.st-note.com/production/uploads/images/280349100/profile_3469bc1685f2eb2da1d117996e931c7f.jpeg?fit=bounds&format=jpeg&quality=85&width=330,2026-06-14T05:16:52.364+09:00,"のあるさん　企画運営お疲れ様でした😆
審査も大変だったでしょうね🌟
賞を取られた方々の作品を見て納得し、やっぱりこの人って思いがでました😆
特にのある賞のコスモスさん🌟
あの花火は凄かったなぁ

本当にお疲れ様です🌟
そして何より自分も参加させてもらいまた動画作成からnoteを楽しむって気持ちになれました。
良い経験になりました🌟
本当、ありがとうございます😊
師匠、これからもよろしくお願いします😆"
nc44af08869fe2,n26436a2810d5,5fe03ea30c6b41450759740ed2e319d2,雑学MAMA,mammynote06,https://assets.st-note.com/production/uploads/images/262490434/profile_2063ec10025f981cb3975de6fac71daf.png?fit=bounds&format=jpeg&quality=85&width=330,2026-06-13T23:58:15.119+09:00,"しろのあるさん(のあるん)✨

まずは、本当にお疲れさまでした☺️🌸

75名ものクリエイターさんの作品を何度も読んで、動画を見て、コメント欄まで目を通してくださったこと…。想像するだけでも、どれほど大変だっただろうと思います。

でも、そのおかげで今回のコンテストは、ただ順位を決める場ではなくて、本当に「文化祭」のような温かい場所になっていたと感じました✨

私自身、「できないかもしれない」と諦めかけていた動画制作に挑戦することができ、
こうして副賞までいただけたこと、本当に感謝の気持ちでいっぱいです。

受賞の嬉しさはもちろんですが、それ以上に、このイベントを通してたくさんの方と出会えたこと、新しい一歩を踏み出せたことが宝物になりました😊

のあるん、ころん、PolloAI様、そして参加された皆さま、本当にありがとうございました☺️
楽しかったよ🌸

これからも、一緒に創作を楽しませてくださいね✨✨✨"
ncfa9ad8190aac,n26436a2810d5,24211e2fb456403b1721913e1bf9f899,かえるこ | Kaeruko,serene_pansy617,https://assets.st-note.com/production/uploads/images/271150366/profile_489a53b34b6784632375cbbc0fba0407.png?fit=bounds&format=jpeg&quality=85&width=330,2026-06-13T23:55:22.420+09:00,"しろのあるさん
執筆お疲れ様です✨

優勝できず悔しいです😭笑

今回皆さんレベルが本当に高くて、エントリーする方も多くて、選定も大変だったと思います💦
でもAI動画が皆さんの身近になってすごく良い機会になったのではないかと思います✨

大変だったと思いますが、お疲れ様でございます✨運営ありがとうございました✨

大変かと思いますので
返信大丈夫です🫡"
ncbebe7a2aaba2,n26436a2810d5,ebba20d0bab94f712544d622068f9189,ヒトタラヲ,5959life,https://assets.st-note.com/production/uploads/images/259338086/profile_643e3dbfec7dcc7023d279f9ed9dc5f3.jpeg?fit=bounds&format=jpeg&quality=85&width=330,2026-06-13T23:47:58.344+09:00,"しろのあるさん

この度は、素晴らしい企画を開催いただき、ありがとうございました。
また、皆さまからの作品を選定する作業についても、かなりのご苦労があったと思われるのに、こうして迅速に発表いただけたこと、嬉しく思います。

それにしても、さすが賞を獲得された方々はすごいですね😳
MVかと思うような作品も多く、素人のボクからすると、思わず「プロじゃん」と、口に出してしまうレベルに驚かされました。

貴重な機会を提供いただき、動画の生成するきっかけをくださり、改めまして、本当にありがとうございました❤︎
心身共にお疲れかと思いますので、どうかご自愛くださいませ✨"
nc20219b7435d6,n26436a2810d5,d7ef6eb03aa1e7c9bbfc21cff22baa9c,緑どんぐり,green_donguri,https://assets.st-note.com/production/uploads/images/221872381/profile_240a9a39c80ce3ebb145dfb4e88d4de3.png?fit=bounds&format=jpeg&quality=85&width=330,2026-06-13T23:06:51.843+09:00,"しろのあるさん！

この度は、企画運営本当にありがとうございます！

私がずっとやってみたかったことに挑戦できたのも、この企画があったからこそです。
そしてそんな企画で受賞できたなんて、嬉しすぎます！

本当にお疲れさまでした！
いつもありがとうございます！！"
