key,like_count,comment_count
nc13524d5d80a,247,29
n8b3efa2448cd,69,8
nc3053a0a1ea8,49,5
n7b09eb123851,116,8
nbc82fea4cedb,138,0
n13392fe2dc93,187,44
n5f1f5ca696b9,156,16
naac30afeef21,161,18
naed4060563b1,81,7
n9a8f9a4d60e9,165,10
n0ee8f90f4ac0,207,22
n591b7ec37f46,118,2
n08b4ec0178e0,284,49
n094f38ba275b,61,4
n0882fb815368,216,7
n70d0371551aa,68,11
n41ce53313e8d,206,25
naf1203f5c51e,188,24
nb00e0ec1e371,202,12
n48ce086ad8a4,255,46
nab43cc405584,210,19
n265a0acb8b32,184,10
ned27ed471128,77,4
nd7efc8e5b3e6,202,4
na6bb2410e2a0,130,10
n84a0a67f020f,180,13
n4d67bc4b6f0a,339,40
n8c3ae605b367,201,20
nd86b84104f1e,182,8
n4a2bedb961fa,73,2
n623710616831,249,30
n741da12f79d8,135,4
nfa06b3b7cfb4,227,28
ncfe357ee7f33,285,40
n5433a93e87dd,134,2
ne195bfc171c8,214,24
n8e0435a1fad1,65,0
n870f2983cde2,213,23
n5048d60d71e4,237,69
n33da077d6fb5,164,27
neaf9dd6c9259,383,92
n9ec414b34ea5,180,28
nc0309d265392,140,13
n4b4207725b1c,82,8
n4f078c91071c,168,5
nabce5cd731cb,300,33
n8e4af6cb1956,80,8
n2ec54f9e383b,166,9
n8fe53895441a,269,40
n2e66e82edf32,175,10
nfe4c7d12b749,133,2
ne8a1019d4c27,187,16
nfead605fba9c,317,125
n315ca6f819b3,102,18
nf20463e6b5e5,196,23
n331f4016f150,212,25
n76e728af4f95,210,34
nc7e45edb073a,183,19
n23c1a7fdea7f,192,35
nf7728ef376f2,176,10
n8d6dbe502128,81,8
n127a4a306cb8,192,17
ndff03029f964,169,10
nb7d7969c0393,264,27
n37be7ce8e679,185,21
nf5fcdcfb8a24,410,203
n1b1056d9277e,74,10
na203a65edb82,160,20
n9c922f75c9b3,215,9
n1a3c02edc33e,165,18
nba126cd60af5,240,40
n81a51b30e0cc,145,6
nc75b6eb4eafe,162,12
n621f434e0819,122,16
nc32ca997ea75,68,6
nf7751d96727e,165,26
n2c74eb025580,133,8
n8237b72a4f5f,103,14
n324bcff1dec7,63,6
n157f05a71488,149,37
n4ed8f68102f9,179,20
n4bbc964bfd47,57,0
n143dee8f2f91,211,30
n0779afa66b79,148,10
ne0e7f7f6ae2e,102,1
ndb4a5f6a29c1,244,19
n5095a311e361,165,12
nd90108990291,39,5
nadee18c7356c,163,16
nc5ae30b85408,411,68
n1e46ff49dc7a,63,2
nd3372c44c95e,92,3
n3a6ee129232d,107,10
ncdcc3c2f415a,116,17
nef7b143bfe4b,44,14
n9094cf5dc798,109,18
n2eb862ee53c9,178,15
nc00eab576551,85,6
n4d31abd77dfb,81,5
nac392eeadc12,126,38
nc93b3230f5a2,78,12
n0433743c1f38,94,9
n7be657636025,91,11
n9ffd45a4777c,99,17
n7699591bc882,87,15
n2ffb06432f1f,116,19
n6e2623320b07,47,10
nbc31061d5142,36,0
n8f85d90473a4,142,26
n995e162007af,96,15
na0f0ca6f31b5,104,24
n09c5721b8bae,30,0
n5126b24b9a3e,95,16
nd747b5b68600,86,10
neb0a176fb7de,51,9
n27c87bf7e554,100,18
n856e6804b35c,34,11
nb093117cfcf0,79,44
nd52537d77677,121,0
n2284120a9a33,70,2
n520fc2b2cf5e,73,4
nc24ac8843c77,101,29
n870c3b1043b8,97,8
n326c0c4fb634,67,17
n6d0edf9289fa,103,14
ne97ea9c6de27,63,19
n77e936b44bf4,94,0
n812bf7aba601,80,7
nd2bf00154364,30,0
n3fdf34a3d4a0,117,2
n7d2823ed5523,65,19
n8cab03e50b52,102,4
n2ba5304a1ef0,81,6
n932f674eaa2c,58,2
nfe318589c010,75,6
n3ad22c5385a3,45,6
n0b1862bcb8a3,115,16
n8e21318150a1,84,17
n930b738655d5,111,2
n37d23c36f475,94,11
ndeb9bb18adb9,100,20
n1851bf82838c,66,16
n36f537a9bbe6,132,22
n2e3576417bc0,100,17
n082a7ff835c0,126,13
n9dd277555df7,41,0
n65bf0415b8f1,110,14
ne79e22b8e5f7,93,10
n7a522d2ac4cd,99,10
n1b64d95adbd8,100,14
n08c59d5fe01f,115,10
nfc0b833a4999,46,10
nb7d26a011fc0,140,10
n8d0a2a1ed3f9,122,13
n84126d079255,131,21
na32900da757d,75,6
nf9c58d62490d,105,31
n793735f4b51c,97,12
n80903c3908b4,96,10
nc561c249ce56,31,5
na2fcec7acebd,129,20
n22b3398eb365,114,14
nb7d0a78baa69,67,7
n5fd7c492446d,91,10
na19d431a2ba9,80,10
n72b6bda8215c,48,14
n422a5d387662,94,7
n077b519809ce,150,10
na5c225edf77f,95,10
n0c6d55a8b448,76,10
nfd098158931a,151,10
n2e22bf6de0cc,116,11
nd384b730d452,96,15
n86ce1844e164,35,17
nb834651fa513,91,28
ne4258b766488,97,32
ne80ff9986bc5,66,12
n572b8edec5b8,78,8
ncf11a691acf8,106,6
n82165a03194a,29,10
n48eaf9fde1b8,93,12
n55900074f9f1,94,18
n268b7c196d39,89,4
n9395dae3d66d,59,7
nd308899ee44e,90,8
n4eb456f477c9,129,20
n1a1f36a05ba6,91,8
n5db4904b17b9,25,11
n1f0a26a7979c,393,90
nfdf24424b29c,89,14
nb63f770629cc,79,20
n5c83acc474f1,68,10
n21ef23240488,74,28
n9325060cd215,37,12
nefdbde37a98b,80,6
n92e17c56fcc7,93,18
n238a19a33753,65,13
n3ebb1d510b17,54,4
n7119577c4339,89,8
naed510b5f918,87,11
nf6363798293c,89,10
n06f6333e6afc,27,10
na1d52ba4f997,88,24
n3561811ddaf1,88,9
nc1c47b9dbe06,47,7
nc40f6118aa66,106,10
n44cc8b3b1d2c,62,16
nea4fd8b0ca50,24,6
n29c70a4dbb74,90,30
n7f58199b29ae,80,8
nc0d6cef418bf,55,18
na7d1c9916f9a,75,20
n2754d98572cf,32,8
n378bdbd1deec,84,21
na4aad198d7d2,37,15
n1f1bfbffcbb1,77,4
n8e9396dc6638,70,15
n54c73603277f,127,22
ndb97f2ed69a9,58,16
nf2d88aaac3bf,90,57
n95ec47f5c4e3,54,22
nc83054467672,85,12
n9bae0632faf8,64,16
ne3ca1c46824b,72,24
nf8dd471a00b1,74,21
n11a9ed18d56d,64,12
nead01d0f3026,20,14
n69b39903becf,104,14
n21dd471f9048,86,53
nd04ec566e0fa,68,6
n469099432bdd,107,26
n9450056f0e5c,38,12
n2c3e26df3ddb,98,21
n685667fec2f0,120,41
n85c5e77da5fe,53,16
nc25fbae234fc,33,12
n15071008147a,126,29
nd62c186ee481,97,8
n705a2a75ee22,113,17
n5f2ff345950e,71,6
n74754f456571,73,8
n115e357b0886,33,2
n9a8d2d3cb01a,104,18
ne61d9ae8e0ef,33,0
n13b2cbf7ee8d,106,24
nc6fc72fb472a,86,28
n0c55a12b67ea,55,8
ne4e3d9047fac,81,13
n30e22adee7c1,33,10
n8c4193b9a83b,101,16
n958b2a19abe7,81,60
n9ce0e412752b,79,24
n3c5a222bbdc0,68,4
n4c0b641a9ca7,64,14
n5967aa85fd75,79,21
ned10d1f212f2,73,23
n825d5d8e444b,93,15
n0f6a0f063c59,95,10
n1bacdd612743,71,12
n18afb0f0dd3e,60,13
nd07747bcccb8,41,0
n42e2a55ca087,64,12
n375c3759c00d,77,20
n214255c6ab42,70,10
n3af08324bf26,75,10
ndb83a7078b74,28,4
n1bbffee249d1,38,1
n0f142362d071,122,0
n5ed6ff60f100,62,10
nd3297a3cf083,71,14
n6ac327ffa14c,59,6
nd744a7ae2150,59,6
ne9d32b5585f7,71,1
n9ba164e1dd62,72,4
nc11e174c4b40,51,8
nde49264b9b6f,31,18
nec571fa98694,91,6
n134601b57dbd,56,6
n2bb80e7a56c1,56,1
nf828cc1f10fc,89,9
