key,like_count,comment_count
naa76af1dd333,244,25
n239cb9226ca8,33,8
nfb8d16815d8b,22,0
n6aeaa223c418,49,4
na4e6e0391b97,54,0
n27c380b65b60,49,6
n1e52a53c4b78,39,0
nb0c06b447b3e,47,6
n629df4b60550,54,10
n3fb5018ce70d,42,2
n91725a796b19,64,14
nbdf3349a132d,38,4
nb8563b09dc19,40,7
n8def19c13329,72,19
n2728eb01a511,83,13
nff8879a6f6a8,56,10
n81427dd1eafb,31,0
ncc2c2bd57592,50,4
n84a19860094d,50,5
n81728d119350,42,6
n2cf38e48c653,80,2
nda3c35060d57,46,4
nc36b0c86eb9e,48,6
n8d026d68c33c,40,4
